지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2018-01-01,-1.2,0,1.5
765,복내,2018-01-02,0,0,1.6
765,복내,2018-01-03,-.5,0,2.4
765,복내,2018-01-04,0,0,2.4
765,복내,2018-01-05,1.1,0,3.2
765,복내,2018-01-06,1.2,0,2.3
765,복내,2018-01-07,.2,.5,.5
765,복내,2018-01-08,3,2.5,1.7
765,복내,2018-01-09,-.5,.5,2.9
765,복내,2018-01-10,-2.6,7.5,2.1
765,복내,2018-01-11,-6.4,.5,2.1
765,복내,2018-01-12,-10.3,0,1.4
765,복내,2018-01-13,-5.3,0,1
765,복내,2018-01-14,-2.4,0,.5
765,복내,2018-01-15,1.3,0,.9
765,복내,2018-01-16,2.9,14.5,.4
765,복내,2018-01-17,4.1,4,1.5
765,복내,2018-01-18,2.9,0,1.5
765,복내,2018-01-19,.4,0,1.4
765,복내,2018-01-20,-.4,0,1.2
765,복내,2018-01-21,.8,0,.6
765,복내,2018-01-22,4.2,0,1.8
765,복내,2018-01-23,-4.3,0,4.3
765,복내,2018-01-24,-7.6,0,3.2
765,복내,2018-01-25,-7.1,0,3.6
765,복내,2018-01-26,-7.8,0,3.7
765,복내,2018-01-27,-4.7,0,1.6
765,복내,2018-01-28,-.8,0,3.5
765,복내,2018-01-29,-4.3,0,3.3
765,복내,2018-01-30,-5.7,0,1.7
765,복내,2018-01-31,-2.7,0,.9
765,복내,2018-02-01,-2.8,0,1.5
765,복내,2018-02-02,-3,0,1.6
765,복내,2018-02-03,-3.9,0,4.2
765,복내,2018-02-04,-5.9,0,3.8
765,복내,2018-02-05,-7.2,0,2.2
765,복내,2018-02-06,-7.9,0,2.6
765,복내,2018-02-07,-5.7,0,1.8
765,복내,2018-02-08,-4,0,.8
765,복내,2018-02-09,.9,0,1.1
765,복내,2018-02-10,1.8,0,3.4
765,복내,2018-02-11,-2.5,1,3
765,복내,2018-02-12,-3.2,.5,2.4
765,복내,2018-02-13,-.9,0,1.5
765,복내,2018-02-14,2.8,0,1.5
765,복내,2018-02-15,2.9,0,2
765,복내,2018-02-16,1.6,0,1.8
765,복내,2018-02-17,1.6,0,4.1
765,복내,2018-02-18,2.6,0,.9
765,복내,2018-02-19,4.2,0,1.2
765,복내,2018-02-20,3.2,0,1.9
765,복내,2018-02-21,1.7,0,3.2
765,복내,2018-02-22,-.6,0,1.4
765,복내,2018-02-23,1.4,0,1
765,복내,2018-02-24,3.1,0,1
765,복내,2018-02-25,4.2,0,1.1
765,복내,2018-02-26,2.7,0,1.1
765,복내,2018-02-27,3.7,0,.9
765,복내,2018-02-28,6.1,28,3
765,복내,2018-03-01,3.2,.5,5.3
765,복내,2018-03-02,2.4,0,1.6
765,복내,2018-03-03,6.8,0,1.3
765,복내,2018-03-04,11.2,3.5,1.3
765,복내,2018-03-05,9.1,10,1.2
765,복내,2018-03-06,6.3,0,1.3
765,복내,2018-03-07,5.6,10,2
765,복내,2018-03-08,4.1,23,3.2
765,복내,2018-03-09,4.2,0,1.8
765,복내,2018-03-10,4.1,0,1.5
765,복내,2018-03-11,5.2,0,1.1
765,복내,2018-03-12,5.6,0,1.1
765,복내,2018-03-13,9.4,0,1.4
765,복내,2018-03-14,12.3,0,1.5
765,복내,2018-03-15,13.8,34.5,1.1
765,복내,2018-03-16,6.6,1,2
