지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2016-01-01,-.8,0,1
765,복내,2016-01-02,2.4,0,.5
765,복내,2016-01-03,4.4,0,.7
765,복내,2016-01-04,4.1,0,2
765,복내,2016-01-05,.2,.5,1.2
765,복내,2016-01-06,2.8,0,2.5
765,복내,2016-01-07,2.4,0,3.1
765,복내,2016-01-08,.1,0,2.3
765,복내,2016-01-09,-.1,0,1.5
765,복내,2016-01-10,1,0,1.4
765,복내,2016-01-11,1.2,0,3.1
765,복내,2016-01-12,-1.6,0,2.5
765,복내,2016-01-13,.5,0,2.5
765,복내,2016-01-14,-.5,0,1.8
765,복내,2016-01-15,-1.7,0,.7
765,복내,2016-01-16,1.1,0,1
765,복내,2016-01-17,1.8,3,1.2
765,복내,2016-01-18,-1,3.5,3.6
765,복내,2016-01-19,-4.8,.5,3.2
765,복내,2016-01-20,-5.1,0,1.9
765,복내,2016-01-21,-3.7,0,1.7
765,복내,2016-01-22,-2.7,0,2.4
765,복내,2016-01-23,-5.7,1.5,1.7
765,복내,2016-01-24,-10,2.5,0
765,복내,2016-01-25,-6,0,1.3
765,복내,2016-01-26,-1.5,0,1.3
765,복내,2016-01-27,-1.1,0,.7
765,복내,2016-01-28,1.3,11.5,1
765,복내,2016-01-29,3.3,13,1
765,복내,2016-01-30,2.9,0,1.3
765,복내,2016-01-31,-.8,0,2.7
765,복내,2016-02-01,-2.1,0,4
765,복내,2016-02-02,-2.3,0,2.9
765,복내,2016-02-03,-2.5,0,1.6
765,복내,2016-02-04,-.8,0,1.9
765,복내,2016-02-05,-.1,0,2.1
765,복내,2016-02-06,-2,0,2.5
765,복내,2016-02-07,-3.3,0,1.3
765,복내,2016-02-08,.6,0,1.4
765,복내,2016-02-09,2.2,0,2.8
765,복내,2016-02-10,.6,0,.8
765,복내,2016-02-11,6.7,.5,2.2
765,복내,2016-02-12,12.3,43,1.4
765,복내,2016-02-13,13.1,10.5,1.4
765,복내,2016-02-14,.5,0,5.2
765,복내,2016-02-15,-2.4,0,4.3
765,복내,2016-02-16,.3,.5,2.9
765,복내,2016-02-17,1.4,0,2.2
765,복내,2016-02-18,.7,0,1
765,복내,2016-02-19,4.2,0,.9
765,복내,2016-02-20,3.1,0,2.4
765,복내,2016-02-21,.4,0,1.9
765,복내,2016-02-22,3,0,.9
765,복내,2016-02-23,3.4,0,2.9
