지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2010-01-01,-6,0,.3
765,복내,2010-01-02,-.8,0,.5
765,복내,2010-01-03,-1,0,1.1
765,복내,2010-01-04,-1.3,5,1.1
765,복내,2010-01-05,-3.9,0,1.4
765,복내,2010-01-06,-4.6,0,1
765,복내,2010-01-07,-4.5,0,1.1
765,복내,2010-01-08,-3.1,0,.9
765,복내,2010-01-09,-1.6,0,.3
765,복내,2010-01-10,.9,0,.5
765,복내,2010-01-11,.1,0,1.6
765,복내,2010-01-12,-2.9,0,1.3
765,복내,2010-01-13,-6.8,0,1.2
765,복내,2010-01-14,-5.2,0,.6
765,복내,2010-01-15,-1.1,0,.7
765,복내,2010-01-16,-2.1,0,.6
765,복내,2010-01-17,-2.8,0,.4
765,복내,2010-01-18,-.9,0,.3
765,복내,2010-01-19,2.7,0,.5
765,복내,2010-01-20,9.2,9,.1
765,복내,2010-01-21,1.4,0,1.6
765,복내,2010-01-22,-1.8,0,1.7
765,복내,2010-01-23,-3,0,.5
765,복내,2010-01-24,-1.9,0,.5
765,복내,2010-01-25,-.4,0,1.2
765,복내,2010-01-26,-2,0,.7
765,복내,2010-01-27,-1.2,10,.1
765,복내,2010-01-28,3.5,0,1.2
765,복내,2010-01-29,-1,0,.9
765,복내,2010-01-30,.3,.5,
765,복내,2010-01-31,4.4,0,.3
765,복내,2010-02-01,1.8,0,.7
765,복내,2010-02-02,-1.2,0,1.3
765,복내,2010-02-03,-3.9,0,1.3
765,복내,2010-02-04,-3.6,0,.9
765,복내,2010-02-05,-2.7,0,.8
765,복내,2010-02-06,-1.8,0,.8
765,복내,2010-02-07,.3,0,.5
765,복내,2010-02-08,5.9,13.5,0
765,복내,2010-02-09,8.3,10,.1
765,복내,2010-02-10,8.5,18,.2
765,복내,2010-02-11,4.2,33.5,.6
765,복내,2010-02-12,.3,1.5,.3
765,복내,2010-02-13,-1.1,0,1.1
765,복내,2010-02-14,-1.2,0,.4
765,복내,2010-02-15,.7,0,1.1
765,복내,2010-02-16,-1.5,0,1.4
765,복내,2010-02-17,-.8,0,.6
765,복내,2010-02-18,-1.2,.5,1.3
765,복내,2010-02-19,-2.1,0,.7
765,복내,2010-02-20,.4,0,.5
765,복내,2010-02-21,1.7,0,.7
765,복내,2010-02-22,3.8,0,.3
765,복내,2010-02-23,6,0,.7
765,복내,2010-02-24,10.9,0,1.4
765,복내,2010-02-25,15.5,56,2.2
765,복내,2010-02-26,12.7,10,.4
765,복내,2010-02-27,7.1,2,.9
765,복내,2010-02-28,8.6,0,.5
765,복내,2010-03-01,8.2,8,.8
765,복내,2010-03-02,5.1,0,.6
765,복내,2010-03-03,6.1,0,1
765,복내,2010-03-04,6.5,7.5,.4
765,복내,2010-03-05,8.2,9,.1
765,복내,2010-03-06,5.9,9,.1
765,복내,2010-03-07,4.3,1,.3
765,복내,2010-03-08,3.9,0,.7
765,복내,2010-03-09,2.8,0,.8
765,복내,2010-03-10,-1.6,2,1.6
765,복내,2010-03-11,2.8,0,.9
765,복내,2010-03-12,6.8,0,1.4
765,복내,2010-03-13,8.5,0,.8
765,복내,2010-03-14,8.5,1,1.7
765,복내,2010-03-15,10.3,16,2.1
765,복내,2010-03-16,2.9,0,1.8
765,복내,2010-03-17,3.3,.5,1
765,복내,2010-03-18,2.9,2.5,1
765,복내,2010-03-19,5.6,0,1.5
765,복내,2010-03-20,12.8,0,1.8
765,복내,2010-03-21,4.3,0,1.9
765,복내,2010-03-22,3.8,1.5,.6
765,복내,2010-03-23,6.3,7,.4
765,복내,2010-03-24,8.4,0,.5
765,복내,2010-03-25,5.7,.5,1
765,복내,2010-03-26,2.7,0,1.5
765,복내,2010-03-27,3.9,0,.7
765,복내,2010-03-28,6,0,1.2
765,복내,2010-03-29,6.9,0,.9
765,복내,2010-03-30,7.8,0,1.5
765,복내,2010-03-31,9.2,27,.4
765,복내,2010-04-01,9,21.5,.7
765,복내,2010-04-02,7.3,0,1.4
765,복내,2010-04-03,6.6,0,1
765,복내,2010-04-04,7.6,0,1
765,복내,2010-04-05,13.5,0,.8
765,복내,2010-04-06,10.6,0,1.2
765,복내,2010-04-07,6.9,0,1.1
765,복내,2010-04-08,7.5,0,.9
765,복내,2010-04-09,11.6,0,.9
765,복내,2010-04-10,12.2,0,.4
765,복내,2010-04-11,13.3,3.5,1
765,복내,2010-04-12,13.1,6.5,.7
765,복내,2010-04-13,6.6,.5,2.1
765,복내,2010-04-14,3.6,.5,.9
765,복내,2010-04-15,5.7,0,.9
765,복내,2010-04-16,6.5,0,.9
765,복내,2010-04-17,8.5,0,.8
765,복내,2010-04-18,7.5,1.5,.3
765,복내,2010-04-19,12.1,17,1.2
765,복내,2010-04-20,17.3,0,.9
765,복내,2010-04-21,12.2,18.5,1.1
765,복내,2010-04-22,10.4,41,.7
765,복내,2010-04-23,11.1,1,1.1
