지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2013-07-01,25.1,0,1.5
765,복내,2013-07-02,25.6,0,1.7
765,복내,2013-07-03,24.6,52,1.1
765,복내,2013-07-04,23.8,56.5,1.1
765,복내,2013-07-05,24.1,38.5,1.1
765,복내,2013-07-06,24.5,.5,1
765,복내,2013-07-07,23.6,49,1.1
765,복내,2013-07-08,26.1,0,2.4
765,복내,2013-07-09,25.3,.5,1.2
765,복내,2013-07-10,26.2,0,1.6
765,복내,2013-07-11,27.1,0,1.4
765,복내,2013-07-12,26.3,0,1
765,복내,2013-07-13,27.7,0,1.4
765,복내,2013-07-14,27.3,.5,1.4
765,복내,2013-07-15,26.7,0,1.7
765,복내,2013-07-16,27.4,0,2.1
765,복내,2013-07-17,26.3,0,1.4
765,복내,2013-07-18,25.5,2.5,1
765,복내,2013-07-19,26.1,0,1.2
765,복내,2013-07-20,27,0,1.3
765,복내,2013-07-21,26.6,0,1.2
765,복내,2013-07-22,26.7,0,1.3
765,복내,2013-07-23,25.6,1,1
765,복내,2013-07-24,25.8,3.5,1
765,복내,2013-07-25,25.8,0,1.2
765,복내,2013-07-26,26.4,0,1.4
765,복내,2013-07-27,27,0,.9
765,복내,2013-07-28,27.3,0,1
765,복내,2013-07-29,25.7,7,.6
765,복내,2013-07-30,28.9,0,1.1
765,복내,2013-07-31,28.9,0,.9
765,복내,2013-08-01,28.7,0,1.1
765,복내,2013-08-02,27.5,0,.9
765,복내,2013-08-03,27,0,.9
765,복내,2013-08-04,27.7,5.5,.9
765,복내,2013-08-05,27,7,.8
765,복내,2013-08-06,28.6,0,1.2
765,복내,2013-08-07,30,0,1
765,복내,2013-08-08,30.5,0,1.1
765,복내,2013-08-09,29.8,0,1
765,복내,2013-08-10,29.6,0,1
765,복내,2013-08-11,29.6,0,.9
765,복내,2013-08-12,29.1,0,.9
765,복내,2013-08-13,28,0,1.1
765,복내,2013-08-14,28.3,0,1.2
765,복내,2013-08-15,27.6,0,.9
765,복내,2013-08-16,27.8,0,1
765,복내,2013-08-17,27.7,0,1.1
765,복내,2013-08-18,28.8,0,1
765,복내,2013-08-19,28.5,43.5,1.1
765,복내,2013-08-20,29.3,0,1
765,복내,2013-08-21,28.5,0,1.3
765,복내,2013-08-22,27.9,7.5,1.1
765,복내,2013-08-23,25.8,19,.6
765,복내,2013-08-24,25.1,68.5,.4
765,복내,2013-08-25,25,20,1.1
765,복내,2013-08-26,24.9,0,1
765,복내,2013-08-27,24.7,0,1.1
765,복내,2013-08-28,24.4,0,1.1
765,복내,2013-08-29,25.9,38.5,1.4
765,복내,2013-08-30,25,10.5,1
765,복내,2013-08-31,24,0,2.1
765,복내,2013-09-01,23.5,0,.7
765,복내,2013-09-02,22.8,0,1.1
765,복내,2013-09-03,18.5,0,.9
765,복내,2013-09-04,19.5,0,.9
765,복내,2013-09-05,19.7,0,.7
765,복내,2013-09-06,18.5,16.5,.9
765,복내,2013-09-07,20.8,9.5,.8
765,복내,2013-09-08,21.6,0,1.3
765,복내,2013-09-09,21.3,0,1
765,복내,2013-09-10,22.4,0,1
765,복내,2013-09-11,23,0,.9
765,복내,2013-09-12,23.4,2.5,.7
765,복내,2013-09-13,25.4,.5,1
765,복내,2013-09-14,22.2,72.5,1
765,복내,2013-09-15,23.9,0,2
765,복내,2013-09-16,20,0,1.6
765,복내,2013-09-17,20.4,0,1
765,복내,2013-09-18,22.1,0,1.1
765,복내,2013-09-19,21.7,0,1.6
765,복내,2013-09-20,22,0,.8
765,복내,2013-09-21,22.7,0,1.1
765,복내,2013-09-22,23.6,0,1.9
765,복내,2013-09-23,22.6,0,1.2
765,복내,2013-09-24,22.7,0,1.1
765,복내,2013-09-25,19.3,0,2.4
765,복내,2013-09-26,15.8,0,2
765,복내,2013-09-27,16.6,0,.6
765,복내,2013-09-28,18.9,4,1.4
