지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2020-07-01,21.5,0,1.8
765,복내,2020-07-02,21.1,0,.8
765,복내,2020-07-03,19,15.5,.7
765,복내,2020-07-04,19.9,0,.4
765,복내,2020-07-05,20.9,0,.7
765,복내,2020-07-06,21.8,0,.6
765,복내,2020-07-07,24.4,2.5,.8
765,복내,2020-07-08,23.8,0,.7
765,복내,2020-07-09,22.8,1.5,1.4
765,복내,2020-07-10,24,30,1
765,복내,2020-07-11,24.6,0,1.2
765,복내,2020-07-12,20.9,40,1.8
765,복내,2020-07-13,20.5,80.5,.7
765,복내,2020-07-14,19.6,1.5,.5
765,복내,2020-07-15,19.4,9.5,.6
765,복내,2020-07-16,21.3,0,
765,복내,2020-07-17,23.1,0,.7
765,복내,2020-07-18,21.4,0,1.2
765,복내,2020-07-19,24.2,.5,1.7
765,복내,2020-07-20,25.3,7.5,1.2
765,복내,2020-07-21,24,13,.6
765,복내,2020-07-22,23,17.5,
765,복내,2020-07-23,22.3,51.5,1.2
765,복내,2020-07-24,20.6,11.5,1.4
765,복내,2020-07-25,21.6,8.5,.7
765,복내,2020-07-26,22.8,0,
765,복내,2020-07-27,22.1,25.5,.6
765,복내,2020-07-28,25.3,8,
765,복내,2020-07-29,25.1,8,
765,복내,2020-07-30,25.9,15.5,
765,복내,2020-07-31,26.2,2.5,
765,복내,2020-08-01,25.6,0,
765,복내,2020-08-02,26.4,0,.9
765,복내,2020-08-03,26.5,0,1
765,복내,2020-08-04,27.5,0,1.3
765,복내,2020-08-05,26.9,24.5,1.6
765,복내,2020-08-06,26,11.5,1.1
765,복내,2020-08-07,24.6,85.5,.5
765,복내,2020-08-08,25.5,109.5,.9
765,복내,2020-08-09,27.3,.5,2
765,복내,2020-08-10,25.5,66.5,1
765,복내,2020-08-11,26.2,35,.8
765,복내,2020-08-12,26.8,1.5,
765,복내,2020-08-13,26.7,0,
765,복내,2020-08-14,28.3,0,.9
765,복내,2020-08-15,27.7,0,1.1
765,복내,2020-08-16,26.4,0,.6
765,복내,2020-08-17,26.6,0,.7
765,복내,2020-08-18,27.9,0,
765,복내,2020-08-19,27.3,0,1
765,복내,2020-08-20,27,0,.9
765,복내,2020-08-21,26.9,0,.7
765,복내,2020-08-22,25.8,0,.7
765,복내,2020-08-23,25.9,.5,.7
765,복내,2020-08-24,26.8,0,1
765,복내,2020-08-25,26.7,3.5,1.2
