지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2000-01-01,4.8,0,.6
765,복내,2000-01-02,5.3,2.5,.8
765,복내,2000-01-03,1.8,0,1.3
765,복내,2000-01-04,2.5,0,.5
765,복내,2000-01-05,8,6.5,1
765,복내,2000-01-06,6.5,.5,1.4
765,복내,2000-01-07,-1.1,0,1.8
765,복내,2000-01-08,.4,0,.5
765,복내,2000-01-09,1,1.5,.3
765,복내,2000-01-10,2.2,0,.9
765,복내,2000-01-11,2.8,0,.7
765,복내,2000-01-12,6.9,0,.7
765,복내,2000-01-13,3.8,0,1.4
765,복내,2000-01-14,1.3,0,1.5
765,복내,2000-01-15,.7,0,.5
765,복내,2000-01-16,1.8,0,.4
765,복내,2000-01-17,.6,0,1
765,복내,2000-01-18,.3,0,1.7
765,복내,2000-01-19,-2.3,0,1.3
765,복내,2000-01-20,-4.3,0,1.6
765,복내,2000-01-21,-4.5,0,1
765,복내,2000-01-22,-.8,4,.1
765,복내,2000-01-23,5.2,16,.6
765,복내,2000-01-24,1.9,0,2.2
765,복내,2000-01-25,-2.5,0,2.3
765,복내,2000-01-26,-4.2,0,1.6
765,복내,2000-01-27,-4,0,1.3
765,복내,2000-01-28,-3.6,0,.4
765,복내,2000-01-29,-2.5,0,.5
765,복내,2000-01-30,-2,0,1.6
765,복내,2000-01-31,-4.4,0,1.5
765,복내,2000-02-01,-3.6,0,1.1
765,복내,2000-02-02,-1,0,1
765,복내,2000-02-03,.2,0,.9
765,복내,2000-02-04,1.2,0,.8
765,복내,2000-02-05,1.3,1.5,.1
765,복내,2000-02-06,2.4,0,1.3
765,복내,2000-02-07,.7,.5,.8
765,복내,2000-02-08,-4.4,0,1.6
765,복내,2000-02-09,-2.6,0,1.3
765,복내,2000-02-10,-.7,0,.7
765,복내,2000-02-11,1.1,0,.7
765,복내,2000-02-12,1.8,0,.6
765,복내,2000-02-13,4.5,0,.5
765,복내,2000-02-14,.8,0,1.4
765,복내,2000-02-15,-2.8,.5,1.8
765,복내,2000-02-16,-2.3,0,1.5
765,복내,2000-02-17,-.9,0,1.2
765,복내,2000-02-18,0,0,.5
765,복내,2000-02-19,4,0,.4
765,복내,2000-02-20,2.4,0,1.9
765,복내,2000-02-21,.7,0,1.8
765,복내,2000-02-22,.6,0,.9
765,복내,2000-02-23,3.3,0,.8
765,복내,2000-02-24,-.7,0,2.5
765,복내,2000-02-25,-.1,0,.8
765,복내,2000-02-26,.8,0,.9
765,복내,2000-02-27,2.3,0,1.2
765,복내,2000-02-28,.3,0,1.9
765,복내,2000-02-29,0,0,1.1
765,복내,2000-03-01,2.8,0,.6
765,복내,2000-03-02,6.3,0,.6
765,복내,2000-03-03,6.4,3,.6
765,복내,2000-03-04,8.2,0,.4
765,복내,2000-03-05,5.8,0,.8
765,복내,2000-03-06,4.1,0,1.3
765,복내,2000-03-07,1.1,0,2.2
765,복내,2000-03-08,1.2,0,1.6
765,복내,2000-03-09,2.2,.5,1.4
765,복내,2000-03-10,4.9,0,.6
765,복내,2000-03-11,7.5,0,.7
765,복내,2000-03-12,6.4,0,.7
765,복내,2000-03-13,5.6,0,.6
765,복내,2000-03-14,5.7,0,.7
765,복내,2000-03-15,5.2,20,.7
765,복내,2000-03-16,4.7,3.5,1.7
765,복내,2000-03-17,5.8,0,.6
765,복내,2000-03-18,6.6,0,1
765,복내,2000-03-19,5.8,0,1.1
765,복내,2000-03-20,4.9,0,.9
765,복내,2000-03-21,6.8,0,.6
765,복내,2000-03-22,8.5,0,1.3
765,복내,2000-03-23,7,0,1
765,복내,2000-03-24,5.7,0,2.2
765,복내,2000-03-25,6.6,0,1.7
765,복내,2000-03-26,7.7,0,.9
765,복내,2000-03-27,10,0,1.5
765,복내,2000-03-28,8.6,1,
765,복내,2000-03-29,6.8,0,2.1
765,복내,2000-03-30,8.1,0,.7
765,복내,2000-03-31,11,0,
765,복내,2000-04-01,9.9,0,1
765,복내,2000-04-02,12.5,0,1.1
765,복내,2000-04-03,13.8,0,.8
765,복내,2000-04-04,10.8,0,
765,복내,2000-04-05,7.6,0,
765,복내,2000-04-06,7.2,0,1
765,복내,2000-04-07,8.3,0,
765,복내,2000-04-08,9,0,
765,복내,2000-04-09,9.2,1,.8
765,복내,2000-04-10,7.3,1,2.1
765,복내,2000-04-11,8.2,0,1.3
765,복내,2000-04-12,10.5,0,.7
765,복내,2000-04-13,15.2,0,1
765,복내,2000-04-14,15,0,.8
765,복내,2000-04-15,12.3,0,
765,복내,2000-04-16,9.9,0,.9
765,복내,2000-04-17,11.8,0,.9
765,복내,2000-04-18,13.2,0,1.1
765,복내,2000-04-19,14.9,8,1.1
765,복내,2000-04-20,13.8,0,1.3
765,복내,2000-04-21,12.9,1,.5
765,복내,2000-04-22,13.4,0,1.5
765,복내,2000-04-23,10.8,0,1.5
765,복내,2000-04-24,12,0,1
765,복내,2000-04-25,13.1,.5,.9
765,복내,2000-04-26,12.2,.5,.9
765,복내,2000-04-27,12.5,0,1.6
765,복내,2000-04-28,12.2,0,1
765,복내,2000-04-29,13.7,0,1.3
765,복내,2000-04-30,12.4,2,.6
765,복내,2000-05-01,16,0,1.3
765,복내,2000-05-02,14.8,0,1
765,복내,2000-05-03,14.6,0,.8
765,복내,2000-05-04,16.6,0,.8
765,복내,2000-05-05,17.1,0,.9
765,복내,2000-05-06,12.1,0,.6
