지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2006-01-01,1.3,0,.4
765,복내,2006-01-02,2.5,0,1
765,복내,2006-01-03,1,0,1.7
765,복내,2006-01-04,-.9,0,1.2
765,복내,2006-01-05,-3.8,0,1.7
765,복내,2006-01-06,-2.8,0,1.6
765,복내,2006-01-07,-3,0,1.6
765,복내,2006-01-08,-1.3,0,.8
765,복내,2006-01-09,-1.9,0,.5
765,복내,2006-01-10,-.7,0,.6
765,복내,2006-01-11,-.9,0,.3
765,복내,2006-01-12,3.5,0,1.2
765,복내,2006-01-13,9.4,7,.9
765,복내,2006-01-14,6.5,0,.5
765,복내,2006-01-15,4.4,0,.2
765,복내,2006-01-16,2.1,1,.4
765,복내,2006-01-17,4.3,0,.4
765,복내,2006-01-18,4.8,0,.4
765,복내,2006-01-19,4.2,0,1
765,복내,2006-01-20,2.5,0,.6
765,복내,2006-01-21,2.1,0,.6
765,복내,2006-01-22,.9,0,1.7
765,복내,2006-01-23,-.9,0,1.4
765,복내,2006-01-24,-1.1,0,.9
765,복내,2006-01-25,.8,0,.7
765,복내,2006-01-26,1,0,.9
765,복내,2006-01-27,2,0,.8
765,복내,2006-01-28,.7,0,.6
765,복내,2006-01-29,3.5,0,.5
765,복내,2006-01-30,6.7,0,.2
765,복내,2006-01-31,7.9,7,.5
765,복내,2006-02-01,2.9,2.5,1.3
765,복내,2006-02-02,,0,
765,복내,2006-02-03,,0,
765,복내,2006-02-04,-5.1,0,1.4
765,복내,2006-02-05,-1.7,0,.8
765,복내,2006-02-06,.7,4.5,.4
765,복내,2006-02-07,.6,9.5,1.9
765,복내,2006-02-08,-3.2,5,1.8
765,복내,2006-02-09,-3.8,0,.9
765,복내,2006-02-10,.8,0,.7
765,복내,2006-02-11,2.9,0,.6
765,복내,2006-02-12,.7,0,1.3
765,복내,2006-02-13,2.8,0,.8
765,복내,2006-02-14,8.7,12,.3
765,복내,2006-02-15,5.1,2,.6
765,복내,2006-02-16,4,0,1
765,복내,2006-02-17,-1.6,0,1.9
765,복내,2006-02-18,-.1,0,.8
765,복내,2006-02-19,1.3,0,.4
765,복내,2006-02-20,4.3,0,.6
765,복내,2006-02-21,5.5,0,.5
765,복내,2006-02-22,3.6,1,.9
765,복내,2006-02-23,4.4,0,1.1
765,복내,2006-02-24,6.3,0,.8
765,복내,2006-02-25,5.7,13.5,.8
765,복내,2006-02-26,4.9,.5,1.8
765,복내,2006-02-27,1.7,0,1.1
765,복내,2006-02-28,2.1,4.5,.5
765,복내,2006-03-01,1.7,1,1.3
765,복내,2006-03-02,1.1,0,1.7
765,복내,2006-03-03,0,0,1
765,복내,2006-03-04,2.4,0,1.1
765,복내,2006-03-05,9,0,.6
765,복내,2006-03-06,12.5,0,.7
765,복내,2006-03-07,11.4,0,1
