지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2008-07-01,20.1,4,1
765,복내,2008-07-02,20.7,52.5,.8
765,복내,2008-07-03,23.7,1,.6
765,복내,2008-07-04,24.6,0,.8
765,복내,2008-07-05,24.1,0,1
765,복내,2008-07-06,25.8,0,1.2
765,복내,2008-07-07,28,0,.7
765,복내,2008-07-08,28.6,0,.6
765,복내,2008-07-09,29,0,.7
765,복내,2008-07-10,28.3,0,.8
765,복내,2008-07-11,25.4,0,.7
765,복내,2008-07-12,26,17.5,.8
765,복내,2008-07-13,25.8,24.5,.8
765,복내,2008-07-14,27.2,0,.7
765,복내,2008-07-15,27.1,0,1.1
765,복내,2008-07-16,26.8,0,1.3
765,복내,2008-07-17,26.9,0,.5
765,복내,2008-07-18,27.7,0,.8
765,복내,2008-07-19,28.2,2.5,1.3
765,복내,2008-07-20,26.6,36,2
765,복내,2008-07-21,26.3,6.5,.9
765,복내,2008-07-22,25.8,0,.4
765,복내,2008-07-23,27.2,0,.7
765,복내,2008-07-24,28.3,0,1.4
765,복내,2008-07-25,27,3,1.4
765,복내,2008-07-26,26.5,0,1.1
765,복내,2008-07-27,27.4,0,.8
765,복내,2008-07-28,28.6,0,1.1
765,복내,2008-07-29,28.5,0,.8
765,복내,2008-07-30,26,22.5,.6
765,복내,2008-07-31,27.9,0,.8
765,복내,2008-08-01,28.3,0,1.3
765,복내,2008-08-02,27.3,0,1.6
765,복내,2008-08-03,26.4,4,.9
765,복내,2008-08-04,26.1,0,.7
765,복내,2008-08-05,26.2,0,.4
765,복내,2008-08-06,27,0,.9
765,복내,2008-08-07,27,0,.7
765,복내,2008-08-08,26.8,6.5,1
765,복내,2008-08-09,26.9,0,.7
765,복내,2008-08-10,28.1,0,1.1
765,복내,2008-08-11,27,5,.6
765,복내,2008-08-12,26.4,96.5,.7
765,복내,2008-08-13,27.3,9.5,.7
765,복내,2008-08-14,27.3,0,.6
765,복내,2008-08-15,26.6,.5,.8
765,복내,2008-08-16,25.6,7.5,1
765,복내,2008-08-17,24.7,0,1.2
765,복내,2008-08-18,26.2,2.5,1.6
765,복내,2008-08-19,24.7,0,.8
765,복내,2008-08-20,23.6,0,.6
765,복내,2008-08-21,23.1,0,1.3
765,복내,2008-08-22,22.4,17.5,1.8
765,복내,2008-08-23,22.2,0,.8
765,복내,2008-08-24,23.5,6.5,.8
765,복내,2008-08-25,22.9,0,.6
765,복내,2008-08-26,22.2,0,.7
765,복내,2008-08-27,23.2,0,.7
765,복내,2008-08-28,24.1,0,.7
765,복내,2008-08-29,24,0,.7
765,복내,2008-08-30,23.8,0,.8
765,복내,2008-08-31,23.4,0,.6
765,복내,2008-09-01,23.7,1.5,.9
765,복내,2008-09-02,23.2,0,.6
765,복내,2008-09-03,24.7,2,.7
765,복내,2008-09-04,23.7,0,.7
765,복내,2008-09-05,23.2,0,.6
765,복내,2008-09-06,20.9,.5,.3
765,복내,2008-09-07,23.6,0,.6
765,복내,2008-09-08,24,0,.6
765,복내,2008-09-09,23.5,0,.7
765,복내,2008-09-10,23.2,0,.7
765,복내,2008-09-11,22.5,33,.6
765,복내,2008-09-12,24.2,1,.5
765,복내,2008-09-13,25.1,0,.6
765,복내,2008-09-14,24.9,0,1
765,복내,2008-09-15,21.7,1,.2
765,복내,2008-09-16,23.3,0,.5
765,복내,2008-09-17,24.1,0,.8
765,복내,2008-09-18,25.7,0,.5
765,복내,2008-09-19,26.1,0,.7
765,복내,2008-09-20,23.3,.5,.5
765,복내,2008-09-21,23.8,4.5,.8
765,복내,2008-09-22,22.8,.5,.7
765,복내,2008-09-23,23,0,.3
765,복내,2008-09-24,22.4,2,.6
765,복내,2008-09-25,21,.5,.7
765,복내,2008-09-26,16.5,0,1.3
765,복내,2008-09-27,14,0,.5
765,복내,2008-09-28,15.7,0,.3
765,복내,2008-09-29,14.9,0,.2
765,복내,2008-09-30,17.2,0,.5
765,복내,2008-10-01,19.1,0,.6
765,복내,2008-10-02,18.7,0,.4
765,복내,2008-10-03,18.5,0,.6
765,복내,2008-10-04,19.3,0,.5
765,복내,2008-10-05,18.5,1.5,.3
765,복내,2008-10-06,18.9,0,.5
765,복내,2008-10-07,16.1,0,.5
765,복내,2008-10-08,16.3,0,.6
765,복내,2008-10-09,18.9,0,.7
765,복내,2008-10-10,18.3,0,.5
765,복내,2008-10-11,15.4,0,1
765,복내,2008-10-12,13.5,0,.4
765,복내,2008-10-13,13.4,0,.5
765,복내,2008-10-14,14.4,0,.6
765,복내,2008-10-15,15.2,0,.4
765,복내,2008-10-16,15.7,0,.5
765,복내,2008-10-17,16.4,0,.4
765,복내,2008-10-18,16.5,0,.6
765,복내,2008-10-19,15.8,0,.4
765,복내,2008-10-20,16,0,.5
765,복내,2008-10-21,17.1,0,.6
765,복내,2008-10-22,17.8,17.5,1
765,복내,2008-10-23,19.4,2,.7
765,복내,2008-10-24,14.1,0,1.4
765,복내,2008-10-25,10.7,0,.6
765,복내,2008-10-26,14.2,0,1
765,복내,2008-10-27,11.9,0,.9
765,복내,2008-10-28,12.4,0,.8
765,복내,2008-10-29,12.6,0,.3
765,복내,2008-10-30,11,0,.5
765,복내,2008-10-31,9.2,0,.2
765,복내,2008-11-01,9.1,0,.5
765,복내,2008-11-02,11.5,0,.4
765,복내,2008-11-03,12.8,0,.4
765,복내,2008-11-04,9.9,0,.5
765,복내,2008-11-05,9.8,0,.5
765,복내,2008-11-06,13.4,0,.3
765,복내,2008-11-07,14,1,.2
765,복내,2008-11-08,12,.5,.2
765,복내,2008-11-09,10.1,0,.4
765,복내,2008-11-10,8,0,.5
765,복내,2008-11-11,7.9,0,.6
765,복내,2008-11-12,8.3,0,.5
765,복내,2008-11-13,9.2,0,.5
765,복내,2008-11-14,10.1,0,.5
765,복내,2008-11-15,10.1,0,.4
765,복내,2008-11-16,11.8,0,.7
765,복내,2008-11-17,8.4,0,1.4
765,복내,2008-11-18,2.7,.5,1.6
765,복내,2008-11-19,-.5,.5,1
765,복내,2008-11-20,1.6,0,.7
765,복내,2008-11-21,5.3,2.5,1
765,복내,2008-11-22,3.6,0,.4
765,복내,2008-11-23,8.1,0,.4
765,복내,2008-11-24,5.7,8,.5
765,복내,2008-11-25,5,.5,.6
765,복내,2008-11-26,4.8,0,.5
765,복내,2008-11-27,3.1,3.5,.4
765,복내,2008-11-28,5.9,3.5,.8
765,복내,2008-11-29,4.5,1.5,1.5
765,복내,2008-11-30,2.4,0,.6
765,복내,2008-12-01,,0,
765,복내,2008-12-02,5.4,0,.4
765,복내,2008-12-03,7,0,.7
765,복내,2008-12-04,8.9,3,1.2
765,복내,2008-12-05,-1.2,.5,1.6
765,복내,2008-12-06,-4.8,0,.7
765,복내,2008-12-07,-1.7,0,.6
765,복내,2008-12-08,2.8,0,.6
765,복내,2008-12-09,3.9,0,.4
765,복내,2008-12-10,6.4,0,.6
765,복내,2008-12-11,6,0,1
765,복내,2008-12-12,2.6,0,.4
765,복내,2008-12-13,2.2,0,.7
765,복내,2008-12-14,1.4,0,1.4
765,복내,2008-12-15,2.2,0,.7
765,복내,2008-12-16,1.2,0,.4
765,복내,2008-12-17,5.3,0,.9
765,복내,2008-12-18,4.1,0,1.2
765,복내,2008-12-19,0,0,.5
765,복내,2008-12-20,3.3,1,.5
765,복내,2008-12-21,2.8,1,.6
765,복내,2008-12-22,-1.4,1.5,1.7
765,복내,2008-12-23,.2,0,.7
765,복내,2008-12-24,1.5,0,.4
765,복내,2008-12-25,2.2,0,1.6
765,복내,2008-12-26,-1.2,0,1.1
765,복내,2008-12-27,0,0,.7
765,복내,2008-12-28,.5,0,.2
765,복내,2008-12-29,4.4,0,1.1
765,복내,2008-12-30,1,.5,1.4
765,복내,2008-12-31,-1.8,0,1.4
