지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2015-01-01,-2.8,0,4.8
765,복내,2015-01-02,-2,1.5,2.4
765,복내,2015-01-03,-2.7,0,1.1
765,복내,2015-01-04,1.5,0,.8
765,복내,2015-01-05,4.2,7,.9
765,복내,2015-01-06,3.6,2,4.2
765,복내,2015-01-07,-1,0,4.1
765,복내,2015-01-08,-.3,0,3.5
765,복내,2015-01-09,1,0,2.1
765,복내,2015-01-10,2.1,0,2.2
765,복내,2015-01-11,-.3,0,2.9
765,복내,2015-01-12,-1.1,0,1.3
765,복내,2015-01-13,.6,0,.6
765,복내,2015-01-14,3,0,.6
765,복내,2015-01-15,1.3,0,1.6
765,복내,2015-01-16,.4,.5,1.4
765,복내,2015-01-17,0,0,3.9
765,복내,2015-01-18,-.1,0,1.4
765,복내,2015-01-19,3.7,0,3
765,복내,2015-01-20,.6,0,1.2
765,복내,2015-01-21,3.6,4,.5
765,복내,2015-01-22,3.8,.5,2.5
765,복내,2015-01-23,.7,0,1
765,복내,2015-01-24,.3,0,1.1
765,복내,2015-01-25,3.8,5.5,.7
765,복내,2015-01-26,6.9,1,1.9
765,복내,2015-01-27,1,0,3.4
765,복내,2015-01-28,-1.7,0,2.3
765,복내,2015-01-29,.2,5,.8
765,복내,2015-01-30,.5,.5,3.3
765,복내,2015-01-31,-1.6,0,3.4
765,복내,2015-02-01,-1.9,0,1.5
765,복내,2015-02-02,.7,0,1
765,복내,2015-02-03,.2,0,1.2
765,복내,2015-02-04,.3,0,1.8
765,복내,2015-02-05,.7,0,2.8
765,복내,2015-02-06,1.9,0,2.2
765,복내,2015-02-07,1.1,0,1.3
765,복내,2015-02-08,-3.7,0,5.5
765,복내,2015-02-09,-3.1,0,3.3
765,복내,2015-02-10,2.8,0,2.1
765,복내,2015-02-11,2.4,0,1.2
765,복내,2015-02-12,1.3,0,3.9
765,복내,2015-02-13,-1.4,0,2.2
765,복내,2015-02-14,.3,0,1.1
765,복내,2015-02-15,4.6,16,.8
765,복내,2015-02-16,6.8,2.5,2.5
765,복내,2015-02-17,4.6,0,3.9
765,복내,2015-02-18,2.6,0,3.2
765,복내,2015-02-19,3.6,0,1.8
765,복내,2015-02-20,3.1,0,1.5
765,복내,2015-02-21,8.2,8.5,2.2
765,복내,2015-02-22,6.4,.5,3.1
765,복내,2015-02-23,3.9,0,2.8
765,복내,2015-02-24,4.5,0,2.4
765,복내,2015-02-25,4.8,0,.8
765,복내,2015-02-26,4.4,0,3.4
765,복내,2015-02-27,.2,0,3.2
765,복내,2015-02-28,1.2,4,1.4
765,복내,2015-03-01,3.2,.5,3
765,복내,2015-03-02,3,0,1.5
765,복내,2015-03-03,3.1,2,1.8
765,복내,2015-03-04,.8,0,5.7
765,복내,2015-03-05,2.1,0,1.8
765,복내,2015-03-06,3.1,0,1
765,복내,2015-03-07,4.4,0,1.3
765,복내,2015-03-08,5.5,0,1.4
765,복내,2015-03-09,4.7,.5,4.8
765,복내,2015-03-10,-1.1,0,6.7
765,복내,2015-03-11,3.9,0,3.2
765,복내,2015-03-12,3.5,0,2.2
765,복내,2015-03-13,3.8,1.5,1.3
765,복내,2015-03-14,5.1,0,1.3
765,복내,2015-03-15,6.2,0,1.1
765,복내,2015-03-16,9.2,0,1.2
765,복내,2015-03-17,11.2,0,1.2
765,복내,2015-03-18,11.6,45,2
765,복내,2015-03-19,13.3,2,1.5
765,복내,2015-03-20,13,0,1.5
765,복내,2015-03-21,11.8,0,1.4
765,복내,2015-03-22,10.3,0,2.9
765,복내,2015-03-23,5.8,0,3.4
765,복내,2015-03-24,4,0,1.9
765,복내,2015-03-25,4.6,0,1.2
765,복내,2015-03-26,6.9,0,1.2
765,복내,2015-03-27,7.5,0,1.2
765,복내,2015-03-28,9.2,0,1.2
765,복내,2015-03-29,11.5,0,1.5
765,복내,2015-03-30,11.4,0,1.5
765,복내,2015-03-31,12.2,1,.5
765,복내,2015-04-01,14.5,.5,1.4
765,복내,2015-04-02,13.2,3,3.2
765,복내,2015-04-03,14,4.5,2.5
765,복내,2015-04-04,12.7,36.5,3.1
765,복내,2015-04-05,11.7,3.5,.9
765,복내,2015-04-06,11.4,11,1.3
765,복내,2015-04-07,8.1,0,2.1
765,복내,2015-04-08,9.1,0,1.7
765,복내,2015-04-09,11.1,0,1.3
765,복내,2015-04-10,11.3,0,1.2
765,복내,2015-04-11,11,0,1.3
765,복내,2015-04-12,12.1,0,2.5
765,복내,2015-04-13,11.7,4.5,1.2
765,복내,2015-04-14,8.1,8,1.4
765,복내,2015-04-15,11.5,0,1.9
765,복내,2015-04-16,9.9,.5,2.1
765,복내,2015-04-17,9.7,0,1.3
765,복내,2015-04-18,12.5,8,1.6
765,복내,2015-04-19,15.5,7,1.3
765,복내,2015-04-20,14,9.5,.7
765,복내,2015-04-21,14,0,.8
765,복내,2015-04-22,12.7,0,2
765,복내,2015-04-23,12.1,0,1.3
765,복내,2015-04-24,13.9,0,1.5
765,복내,2015-04-25,15.2,0,1.4
765,복내,2015-04-26,15.6,0,1.4
765,복내,2015-04-27,15.1,0,1.1
765,복내,2015-04-28,15.5,27,2.2
765,복내,2015-04-29,16.1,49,2.9
765,복내,2015-04-30,18.2,0,1.1
765,복내,2015-05-01,19.3,0,1.1
765,복내,2015-05-02,18.6,3.5,1.9
765,복내,2015-05-03,18.2,13.5,2.2
765,복내,2015-05-04,16.3,0,3.6
765,복내,2015-05-05,13.9,0,1.7
765,복내,2015-05-06,13.6,0,.8
765,복내,2015-05-07,15.8,0,1.3
765,복내,2015-05-08,16.6,0,.9
765,복내,2015-05-09,17.8,1.5,1.5
765,복내,2015-05-10,16.4,0,.9
765,복내,2015-05-11,15.9,51,2.2
765,복내,2015-05-12,16.1,6,2.9
765,복내,2015-05-13,19.8,0,2.3
765,복내,2015-05-14,18.8,0,1.1
765,복내,2015-05-15,21.3,5,1.2
765,복내,2015-05-16,18.6,0,1.8
765,복내,2015-05-17,16.6,0,.9
765,복내,2015-05-18,13.6,11.5,.6
765,복내,2015-05-19,19.3,0,1.3
765,복내,2015-05-20,17.6,0,2.8
765,복내,2015-05-21,17.8,0,1.5
765,복내,2015-05-22,19.4,0,1.1
765,복내,2015-05-23,19,0,.8
765,복내,2015-05-24,19.9,0,.9
765,복내,2015-05-25,19.3,0,1.4
765,복내,2015-05-26,21,0,1.1
765,복내,2015-05-27,20.1,0,1
765,복내,2015-05-28,20,0,1.6
765,복내,2015-05-29,21.2,0,1
765,복내,2015-05-30,19.2,9,1.2
765,복내,2015-05-31,20.1,0,1.3
765,복내,2015-06-01,20.5,0,1
765,복내,2015-06-02,19.3,0,.8
765,복내,2015-06-03,22.9,0,2.9
765,복내,2015-06-04,19.5,0,1.1
765,복내,2015-06-05,15.8,1.5,.9
765,복내,2015-06-06,18.5,0,1.2
765,복내,2015-06-07,18.3,0,1.6
765,복내,2015-06-08,18.2,7,.5
765,복내,2015-06-09,21.7,0,.9
765,복내,2015-06-10,22,0,1.8
765,복내,2015-06-11,21.3,1.5,1
765,복내,2015-06-12,24.1,0,1.2
765,복내,2015-06-13,21.3,0,1.2
765,복내,2015-06-14,22.6,0,1.3
765,복내,2015-06-15,23.7,0,1.1
765,복내,2015-06-16,23.4,0,1.3
765,복내,2015-06-17,19.4,2,1.2
765,복내,2015-06-18,22.2,0,1.1
765,복내,2015-06-19,22.7,.5,1.2
765,복내,2015-06-20,20,6,.7
765,복내,2015-06-21,21.3,0,1.4
765,복내,2015-06-22,20.7,0,1.2
765,복내,2015-06-23,22.7,0,1.3
765,복내,2015-06-24,21.3,0,1
765,복내,2015-06-25,21.1,36,1.6
765,복내,2015-06-26,21.4,7.5,1.9
765,복내,2015-06-27,20.2,0,1
765,복내,2015-06-28,23.5,0,1.1
765,복내,2015-06-29,23,0,1.1
765,복내,2015-06-30,19.6,28.5,.5
