지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2000-07-01,25.3,0,.6
765,복내,2000-07-02,27.2,0,.7
765,복내,2000-07-03,27.6,0,.5
765,복내,2000-07-04,28.8,0,.6
765,복내,2000-07-05,26.8,22,.8
765,복내,2000-07-06,28,0,.5
765,복내,2000-07-07,25.8,6,1
765,복내,2000-07-08,23.7,0,.7
765,복내,2000-07-09,24.9,0,.6
765,복내,2000-07-10,23.1,64.5,1.1
765,복내,2000-07-11,25.3,3.5,2.1
765,복내,2000-07-12,25.6,0,.6
765,복내,2000-07-13,27.2,0,.9
765,복내,2000-07-14,24.3,38.5,.5
765,복내,2000-07-15,25.1,92,.9
765,복내,2000-07-16,27.5,.5,.5
765,복내,2000-07-17,27.9,0,.6
765,복내,2000-07-18,28.1,0,.9
765,복내,2000-07-19,28.1,3.5,.6
765,복내,2000-07-20,29,0,.6
765,복내,2000-07-21,29.4,0,1
765,복내,2000-07-22,29.4,0,1.1
765,복내,2000-07-23,27,22.5,1.3
765,복내,2000-07-24,26.8,5.5,.6
765,복내,2000-07-25,27.1,0,.5
765,복내,2000-07-26,27.2,0,.6
765,복내,2000-07-27,27.2,0,.8
765,복내,2000-07-28,28.7,0,.6
765,복내,2000-07-29,29.8,0,.8
765,복내,2000-07-30,28.1,8,.3
765,복내,2000-07-31,26,8.5,.9
765,복내,2000-08-01,26.3,0,.5
765,복내,2000-08-02,27,0,.7
765,복내,2000-08-03,25.5,1.5,.8
765,복내,2000-08-04,25.7,126,1.3
765,복내,2000-08-05,27.1,0,.4
765,복내,2000-08-06,28,0,.5
765,복내,2000-08-07,27.8,.5,.5
765,복내,2000-08-08,27.6,0,.4
765,복내,2000-08-09,28,0,.8
765,복내,2000-08-10,27.5,0,.8
765,복내,2000-08-11,28.5,0,.7
765,복내,2000-08-12,29.8,0,.4
765,복내,2000-08-13,28.7,0,.9
765,복내,2000-08-14,28.6,0,.5
765,복내,2000-08-15,28,0,.8
765,복내,2000-08-16,25.4,80,.2
765,복내,2000-08-17,28.7,2.5,.3
765,복내,2000-08-18,28.4,6,.6
765,복내,2000-08-19,28.1,0,.5
765,복내,2000-08-20,24.8,29,.5
765,복내,2000-08-21,25.4,0,.9
765,복내,2000-08-22,25.5,0,.6
765,복내,2000-08-23,26.9,0,.6
765,복내,2000-08-24,26,89,.2
765,복내,2000-08-25,24.5,36.5,.6
765,복내,2000-08-26,25.6,7,1.4
765,복내,2000-08-27,27.3,22,1.4
765,복내,2000-08-28,27.9,0,.6
765,복내,2000-08-29,27.8,0,.8
765,복내,2000-08-30,28.6,0,1.3
765,복내,2000-08-31,27,112,3.7
765,복내,2000-09-01,27.9,0,1.4
765,복내,2000-09-02,27.6,0,.3
765,복내,2000-09-03,23.8,32.5,.2
765,복내,2000-09-04,23.9,0,.5
765,복내,2000-09-05,23.7,0,.6
765,복내,2000-09-06,23,1,.6
765,복내,2000-09-07,22.9,0,.6
765,복내,2000-09-08,21,0,.3
765,복내,2000-09-09,21.4,0,.2
765,복내,2000-09-10,22,1,.1
765,복내,2000-09-11,19.9,2.5,.2
765,복내,2000-09-12,19.2,36,.4
765,복내,2000-09-13,16.9,57,.8
765,복내,2000-09-14,19,41,.3
765,복내,2000-09-15,22.1,43.5,1
765,복내,2000-09-16,19.7,14,1.9
765,복내,2000-09-17,18.7,0,.9
765,복내,2000-09-18,17.2,0,.6
765,복내,2000-09-19,18.3,0,.3
765,복내,2000-09-20,19.5,0,.8
765,복내,2000-09-21,20.1,0,.5
765,복내,2000-09-22,21,.5,.2
765,복내,2000-09-23,20.6,0,.4
765,복내,2000-09-24,20.9,0,.4
765,복내,2000-09-25,20.1,0,.4
765,복내,2000-09-26,18.1,0,.6
765,복내,2000-09-27,18.2,0,.6
765,복내,2000-09-28,16.6,0,.3
765,복내,2000-09-29,17.9,12.5,.7
765,복내,2000-09-30,20.7,0,.2
765,복내,2000-10-01,21,0,.7
765,복내,2000-10-02,17.3,10.5,.4
765,복내,2000-10-03,17.3,0,.7
765,복내,2000-10-04,16.3,0,.4
765,복내,2000-10-05,18.4,0,.4
765,복내,2000-10-06,19,0,.7
765,복내,2000-10-07,19.2,0,.8
765,복내,2000-10-08,18.2,0,.4
765,복내,2000-10-09,19.5,0,.5
765,복내,2000-10-10,19.8,0,.6
765,복내,2000-10-11,20.3,0,.4
765,복내,2000-10-12,15.3,0,2.3
765,복내,2000-10-13,12.1,0,2.1
765,복내,2000-10-14,11.1,0,.5
765,복내,2000-10-15,12.7,0,.6
765,복내,2000-10-16,12.5,0,.4
765,복내,2000-10-17,11.5,0,.4
765,복내,2000-10-18,15.2,0,.8
765,복내,2000-10-19,12.2,0,.4
765,복내,2000-10-20,14.1,0,.4
765,복내,2000-10-21,13.9,0,.4
765,복내,2000-10-22,14.7,0,.7
765,복내,2000-10-23,17,13.5,.5
765,복내,2000-10-24,18.6,.5,.7
765,복내,2000-10-25,17.6,0,.7
765,복내,2000-10-26,13.9,3,1.5
765,복내,2000-10-27,13.5,0,.7
765,복내,2000-10-28,13.5,0,.3
765,복내,2000-10-29,11.5,1,.5
765,복내,2000-10-30,9.4,0,.4
765,복내,2000-10-31,9.8,.5,.3
765,복내,2000-11-01,11.3,11,.3
765,복내,2000-11-02,12.6,6,.6
765,복내,2000-11-03,13.3,0,.5
765,복내,2000-11-04,13.5,0,.6
765,복내,2000-11-05,11.4,0,.3
765,복내,2000-11-06,11.7,0,.6
765,복내,2000-11-07,12.7,0,1.8
765,복내,2000-11-08,5.7,0,1
765,복내,2000-11-09,7.7,0,.6
765,복내,2000-11-10,9.4,0,1.2
765,복내,2000-11-11,5.6,0,1.5
765,복내,2000-11-12,5.6,0,1.2
765,복내,2000-11-13,5.2,0,.4
765,복내,2000-11-14,7.9,0,.5
765,복내,2000-11-15,8.5,3.5,.4
765,복내,2000-11-16,9.7,12.5,.8
765,복내,2000-11-17,7.3,0,1
765,복내,2000-11-18,5.5,0,.8
765,복내,2000-11-19,6.8,2.5,.7
765,복내,2000-11-20,8.4,9.5,1.6
765,복내,2000-11-21,2.6,0,2.1
765,복내,2000-11-22,1.9,0,.6
765,복내,2000-11-23,4.5,0,.5
765,복내,2000-11-24,5,0,.6
765,복내,2000-11-25,7.5,0,.5
765,복내,2000-11-26,7.8,0,.7
765,복내,2000-11-27,5.3,0,2.4
765,복내,2000-11-28,2.9,0,.5
765,복내,2000-11-29,2.7,0,.6
765,복내,2000-11-30,5.7,0,.2
765,복내,2000-12-01,6,.5,.4
765,복내,2000-12-02,7.3,0,.4
765,복내,2000-12-03,6.7,0,1.4
765,복내,2000-12-04,2.2,0,.5
765,복내,2000-12-05,3.4,0,1.3
765,복내,2000-12-06,2.1,0,.8
765,복내,2000-12-07,2.1,0,.3
765,복내,2000-12-08,3.1,0,.3
765,복내,2000-12-09,4.5,0,.5
765,복내,2000-12-10,2.5,.5,1.4
765,복내,2000-12-11,-2.7,0,3
765,복내,2000-12-12,-3.3,0,1.7
765,복내,2000-12-13,-.7,0,.4
765,복내,2000-12-14,.3,0,.3
765,복내,2000-12-15,3.1,0,.6
765,복내,2000-12-16,4.8,0,.8
765,복내,2000-12-17,2.7,0,.6
765,복내,2000-12-18,4.4,6.5,.3
765,복내,2000-12-19,4,0,1
765,복내,2000-12-20,2.4,0,.7
765,복내,2000-12-21,1.8,0,1.2
765,복내,2000-12-22,.1,0,.5
765,복내,2000-12-23,2.6,0,1.2
765,복내,2000-12-24,.1,0,.5
765,복내,2000-12-25,-.5,1.5,2
765,복내,2000-12-26,-3.4,0,1.8
765,복내,2000-12-27,-1.9,0,.5
765,복내,2000-12-28,-.2,0,.6
765,복내,2000-12-29,-1.1,0,.4
765,복내,2000-12-30,1.1,0,.3
765,복내,2000-12-31,.1,0,2.7
