지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2011-01-01,-5.1,0,.9
765,복내,2011-01-02,-4.7,0,.7
765,복내,2011-01-03,-3.6,0,.7
765,복내,2011-01-04,-2.4,0,.8
765,복내,2011-01-05,-.5,0,1.4
765,복내,2011-01-06,-3.1,0,1.2
765,복내,2011-01-07,-4.7,0,1.1
765,복내,2011-01-08,-3.4,0,.6
765,복내,2011-01-09,-3.3,0,1.2
765,복내,2011-01-10,-5.8,0,1.5
765,복내,2011-01-11,-3.5,0,.8
765,복내,2011-01-12,-4.2,0,1.2
765,복내,2011-01-13,-5.7,0,.5
765,복내,2011-01-14,-3.1,0,.7
765,복내,2011-01-15,-6.7,0,2
765,복내,2011-01-16,-8.5,0,1.4
765,복내,2011-01-17,-5.2,0,1.1
765,복내,2011-01-18,-5.5,0,.6
765,복내,2011-01-19,-4,0,.9
765,복내,2011-01-20,-4.8,0,1.1
765,복내,2011-01-21,-4.4,0,1.1
765,복내,2011-01-22,-3.4,0,.9
765,복내,2011-01-23,-1.8,.5,.7
765,복내,2011-01-24,-4.3,0,1.4
765,복내,2011-01-25,-4.5,0,1
765,복내,2011-01-26,-6,0,.8
765,복내,2011-01-27,-4.7,0,1.4
765,복내,2011-01-28,-4.1,0,1.1
765,복내,2011-01-29,-6.5,0,1.1
765,복내,2011-01-30,-7.3,0,1.1
765,복내,2011-01-31,-4.8,0,.9
765,복내,2011-02-01,-2.3,0,.5
765,복내,2011-02-02,-.4,0,.5
765,복내,2011-02-03,-1.7,0,.5
765,복내,2011-02-04,-.6,0,.4
765,복내,2011-02-05,.1,0,.5
765,복내,2011-02-06,1.5,0,.5
765,복내,2011-02-07,2.1,0,.7
765,복내,2011-02-08,.3,3.5,.3
765,복내,2011-02-09,.5,0,.8
765,복내,2011-02-10,-1.9,0,.6
765,복내,2011-02-11,-1.7,0,1.3
765,복내,2011-02-12,-4.2,0,1.6
765,복내,2011-02-13,-3.3,0,.6
765,복내,2011-02-14,-2.7,0,1.2
765,복내,2011-02-15,-1.9,0,.5
765,복내,2011-02-16,.8,4.5,.6
765,복내,2011-02-17,.8,6.5,1.1
765,복내,2011-02-18,1.2,0,.7
765,복내,2011-02-19,2.1,0,.5
765,복내,2011-02-20,3.3,0,.8
765,복내,2011-02-21,2.7,0,.6
765,복내,2011-02-22,2.7,0,.7
765,복내,2011-02-23,4.2,0,.6
765,복내,2011-02-24,6.6,0,.7
765,복내,2011-02-25,6.1,0,.8
765,복내,2011-02-26,5.7,.5,1.3
765,복내,2011-02-27,8.9,65,1
765,복내,2011-02-28,7.1,6,1
765,복내,2011-03-01,1,4.5,1.1
765,복내,2011-03-02,.3,0,1.6
765,복내,2011-03-03,-.6,0,1.7
765,복내,2011-03-04,.9,0,1.3
765,복내,2011-03-05,1.2,0,.7
765,복내,2011-03-06,5.5,0,1
765,복내,2011-03-07,2.9,0,1.5
765,복내,2011-03-08,2.4,0,1.3
765,복내,2011-03-09,1.5,0,1.4
765,복내,2011-03-10,2.5,0,1.2
765,복내,2011-03-11,3.8,0,1.1
765,복내,2011-03-12,5.2,0,1
765,복내,2011-03-13,8.2,0,.8
765,복내,2011-03-14,9,0,.7
765,복내,2011-03-15,3.2,0,1.8
765,복내,2011-03-16,1.3,0,1.5
765,복내,2011-03-17,2.5,0,1.2
765,복내,2011-03-18,4,0,1.1
765,복내,2011-03-19,8.4,0,.6
765,복내,2011-03-20,9.4,21.5,.6
765,복내,2011-03-21,8,0,.7
765,복내,2011-03-22,2.7,0,1.7
765,복내,2011-03-23,2.8,0,1.3
765,복내,2011-03-24,4.7,2.5,1.3
765,복내,2011-03-25,2.8,0,1.9
765,복내,2011-03-26,2.4,0,.9
765,복내,2011-03-27,4.5,0,.8
765,복내,2011-03-28,4.8,0,.8
765,복내,2011-03-29,3.5,0,.9
765,복내,2011-03-30,6.5,0,1.1
765,복내,2011-03-31,9.7,0,.7
765,복내,2011-04-01,9.8,0,.8
765,복내,2011-04-02,10.6,0,1.1
765,복내,2011-04-03,6.5,8.5,.5
765,복내,2011-04-04,8.4,0,1
765,복내,2011-04-05,8.5,0,1
765,복내,2011-04-06,9.2,0,1.3
765,복내,2011-04-07,12.1,23,1.5
765,복내,2011-04-08,12.6,3,.9
765,복내,2011-04-09,10.3,0,1
765,복내,2011-04-10,11.4,0,.9
765,복내,2011-04-11,10,1.5,1.4
765,복내,2011-04-12,8.1,0,.9
765,복내,2011-04-13,10,0,1
765,복내,2011-04-14,12,0,1.2
765,복내,2011-04-15,18.1,0,1.1
765,복내,2011-04-16,12.8,0,1.6
765,복내,2011-04-17,12.8,0,1.2
765,복내,2011-04-18,6.8,1,1.4
765,복내,2011-04-19,8.7,0,1.3
765,복내,2011-04-20,10.1,0,1.1
765,복내,2011-04-21,11.9,0,1.4
765,복내,2011-04-22,12.8,34,1.7
765,복내,2011-04-23,10.5,0,1.5
765,복내,2011-04-24,9.4,0,1.1
765,복내,2011-04-25,12.9,0,1.4
765,복내,2011-04-26,14.5,10.5,1.2
765,복내,2011-04-27,12.5,0,1.4
765,복내,2011-04-28,9.4,0,1.3
765,복내,2011-04-29,12.8,0,1.8
765,복내,2011-04-30,19.7,23,2.6
765,복내,2011-05-01,15.4,0,1.4
765,복내,2011-05-02,15.7,0,1
765,복내,2011-05-03,15.8,0,1.1
765,복내,2011-05-04,13.9,0,.9
765,복내,2011-05-05,14.3,0,1.3
765,복내,2011-05-06,13.8,0,1.1
765,복내,2011-05-07,19.2,.5,.6
765,복내,2011-05-08,20.7,0,1.1
765,복내,2011-05-09,19.5,1.5,1.2
765,복내,2011-05-10,21.2,49,1.2
765,복내,2011-05-11,17.8,62,.9
765,복내,2011-05-12,15.3,2.5,1
765,복내,2011-05-13,14.9,0,1.5
765,복내,2011-05-14,15.1,0,1.1
765,복내,2011-05-15,15.7,0,.9
765,복내,2011-05-16,16.5,0,.7
765,복내,2011-05-17,16.5,0,.7
765,복내,2011-05-18,16.7,0,1.5
765,복내,2011-05-19,18.9,0,1.7
765,복내,2011-05-20,,0,
765,복내,2011-05-21,21.2,0,.9
765,복내,2011-05-22,17.1,1.5,1.1
765,복내,2011-05-23,11.6,8.5,.5
765,복내,2011-05-24,16.3,0,.9
765,복내,2011-05-25,16.7,0,1.1
765,복내,2011-05-26,14.7,1.5,1.1
765,복내,2011-05-27,16.1,.5,.8
765,복내,2011-05-28,17.7,0,.6
765,복내,2011-05-29,19.7,0,.9
765,복내,2011-05-30,18.2,0,1.2
765,복내,2011-05-31,14.3,0,1.5
765,복내,2011-06-01,17.8,0,1.3
765,복내,2011-06-02,19.7,0,1.2
765,복내,2011-06-03,19.1,0,1.4
765,복내,2011-06-04,19.8,0,1
765,복내,2011-06-05,20.4,0,.8
765,복내,2011-06-06,20.2,0,.9
765,복내,2011-06-07,20.6,0,.8
765,복내,2011-06-08,20.1,0,.9
765,복내,2011-06-09,19.2,0,.8
765,복내,2011-06-10,18.7,30.5,.6
765,복내,2011-06-11,20.7,1.5,.6
765,복내,2011-06-12,20.3,0,.9
765,복내,2011-06-13,19.4,0,.8
765,복내,2011-06-14,19,0,.8
765,복내,2011-06-15,18.5,0,.8
765,복내,2011-06-16,21.1,0,1.2
765,복내,2011-06-17,20.7,0,.9
765,복내,2011-06-18,20.8,0,1
765,복내,2011-06-19,21.5,0,1
765,복내,2011-06-20,22.2,0,.8
765,복내,2011-06-21,24.1,0,1.2
765,복내,2011-06-22,23.5,59.5,1.4
765,복내,2011-06-23,26.4,0,1.8
765,복내,2011-06-24,26,15.5,1.6
765,복내,2011-06-25,23.3,73,1.5
765,복내,2011-06-26,22.4,89,3.3
765,복내,2011-06-27,22.8,0,1.9
765,복내,2011-06-28,22.8,5,1
765,복내,2011-06-29,25.6,.5,1.9
765,복내,2011-06-30,23.6,18.5,.8
