지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2021-01-01,-3.3,0,.9
765,복내,2021-01-02,-1.7,0,1.6
765,복내,2021-01-03,-.8,0,1.8
765,복내,2021-01-04,-.8,0,.5
765,복내,2021-01-05,-.7,0,2
765,복내,2021-01-06,-3.3,.5,1.4
765,복내,2021-01-07,-9,1.5,3.7
765,복내,2021-01-08,-11.6,0,1.5
765,복내,2021-01-09,-8.9,0,1.6
765,복내,2021-01-10,-7,0,1.1
765,복내,2021-01-11,-3.1,0,.7
765,복내,2021-01-12,-2.7,0,.7
765,복내,2021-01-13,.4,0,.7
765,복내,2021-01-14,1.7,0,.4
765,복내,2021-01-15,6.3,0,1.5
765,복내,2021-01-16,.3,0,4.2
765,복내,2021-01-17,-2.7,0,2.5
765,복내,2021-01-18,-.3,0,2.5
765,복내,2021-01-19,-2.8,0,1.5
765,복내,2021-01-20,-1,0,.5
765,복내,2021-01-21,4.9,3.5,.4
765,복내,2021-01-22,8.3,1.5,.2
765,복내,2021-01-23,8.4,5.5,.4
765,복내,2021-01-24,6.4,0,.6
765,복내,2021-01-25,5.1,0,1.1
765,복내,2021-01-26,5.6,9.5,1.5
765,복내,2021-01-27,3.9,0,2.1
765,복내,2021-01-28,-.3,1,3.3
765,복내,2021-01-29,-3.5,0,4
765,복내,2021-01-30,-.2,0,1
765,복내,2021-01-31,3.9,1.5,1
765,복내,2021-02-01,7.7,18,1.1
765,복내,2021-02-02,-1.3,0,3.9
765,복내,2021-02-03,-.9,0,1.4
765,복내,2021-02-04,1.4,1,2.1
765,복내,2021-02-05,1.1,0,.6
765,복내,2021-02-06,3,0,.9
765,복내,2021-02-07,6.6,0,1.8
765,복내,2021-02-08,-.1,0,3.4
765,복내,2021-02-09,.3,0,2.2
765,복내,2021-02-10,1.4,0,1.2
765,복내,2021-02-11,3.4,0,.6
765,복내,2021-02-12,5,0,.7
765,복내,2021-02-13,6,0,.7
765,복내,2021-02-14,9.4,1.5,.7
765,복내,2021-02-15,3.7,0,4
765,복내,2021-02-16,.2,.5,3.3
765,복내,2021-02-17,-4.6,1,4.1
765,복내,2021-02-18,-2.8,0,4.6
765,복내,2021-02-19,1.8,0,1.9
765,복내,2021-02-20,5.3,0,1.2
765,복내,2021-02-21,8.8,0,1.2
765,복내,2021-02-22,7.6,0,1.9
765,복내,2021-02-23,3.3,0,2.3
765,복내,2021-02-24,2.6,0,.6
765,복내,2021-02-25,3.3,9.5,1
765,복내,2021-02-26,7.3,.5,1.6
765,복내,2021-02-27,7.4,0,3.9
765,복내,2021-02-28,8.8,.5,1.4
765,복내,2021-03-01,10.9,42,1.8
765,복내,2021-03-02,4.4,0,2.8
765,복내,2021-03-03,3.7,0,1
765,복내,2021-03-04,5.3,13,.7
765,복내,2021-03-05,10.5,0,1.2
765,복내,2021-03-06,8.6,0,1.7
765,복내,2021-03-07,7.3,0,1.4
765,복내,2021-03-08,7.8,0,1
765,복내,2021-03-09,7.9,0,1.4
765,복내,2021-03-10,8.3,0,1.5
765,복내,2021-03-11,8.4,3.5,.8
765,복내,2021-03-12,8.8,18.5,1.3
765,복내,2021-03-13,7.8,0,1.2
765,복내,2021-03-14,7.2,0,1.4
765,복내,2021-03-15,9.3,0,1.2
765,복내,2021-03-16,11.6,3,2.5
765,복내,2021-03-17,7.8,0,1
765,복내,2021-03-18,9.4,0,1.1
765,복내,2021-03-19,11.7,0,1.5
765,복내,2021-03-20,9.5,16.5,1.4
765,복내,2021-03-21,6.5,0,4.6
765,복내,2021-03-22,7,0,3.6
765,복내,2021-03-23,7,0,1.6
765,복내,2021-03-24,7.4,0,1
765,복내,2021-03-25,10.4,0,1.2
765,복내,2021-03-26,10.6,0,1.3
765,복내,2021-03-27,12.1,46.5,1.3
765,복내,2021-03-28,11.7,.5,2.2
765,복내,2021-03-29,12.5,0,2.1
765,복내,2021-03-30,11.5,0,1
765,복내,2021-03-31,11.1,0,.9
765,복내,2021-04-01,13.6,0,3.1
765,복내,2021-04-02,17,0,3.8
765,복내,2021-04-03,15.5,12,1
765,복내,2021-04-04,11,2,1.7
765,복내,2021-04-05,10.1,0,1.3
765,복내,2021-04-06,10.3,0,1.7
765,복내,2021-04-07,12.1,0,1.4
765,복내,2021-04-08,11.8,0,1.9
765,복내,2021-04-09,10.4,0,1.7
765,복내,2021-04-10,9.7,0,1
765,복내,2021-04-11,10.5,0,1.7
765,복내,2021-04-12,12.2,26,1.6
765,복내,2021-04-13,10.5,.5,3
765,복내,2021-04-14,8.3,0,2.6
765,복내,2021-04-15,7.5,0,1
765,복내,2021-04-16,10.6,0,1
765,복내,2021-04-17,10.1,0,2.6
765,복내,2021-04-18,10.2,0,3.7
765,복내,2021-04-19,10.3,0,1.9
765,복내,2021-04-20,12.8,0,.9
765,복내,2021-04-21,14.5,0,1.1
765,복내,2021-04-22,15.3,0,.8
765,복내,2021-04-23,18.2,0,2.2
765,복내,2021-04-24,15.6,0,1.2
765,복내,2021-04-25,15.1,0,1.2
765,복내,2021-04-26,12.7,0,1.6
765,복내,2021-04-27,12.5,0,.8
765,복내,2021-04-28,16.3,0,.9
765,복내,2021-04-29,16,4,1.9
765,복내,2021-04-30,14,9.5,2.8
765,복내,2021-05-01,10.2,14,2.4
765,복내,2021-05-02,11.3,0,2.1
765,복내,2021-05-03,12.1,0,1.3
765,복내,2021-05-04,16,26.5,1.7
765,복내,2021-05-05,14.2,.5,2.6
765,복내,2021-05-06,11.7,0,.9
765,복내,2021-05-07,13.1,0,1.4
765,복내,2021-05-08,14.8,0,1.3
765,복내,2021-05-09,15,0,1.4
765,복내,2021-05-10,16,0,1.6
765,복내,2021-05-11,16.9,0,2.1
765,복내,2021-05-12,18.6,0,1.7
765,복내,2021-05-13,19.1,0,.8
765,복내,2021-05-14,19.7,0,1.5
765,복내,2021-05-15,20.4,12,.9
765,복내,2021-05-16,20.6,20.5,.8
765,복내,2021-05-17,16.2,.5,1.7
765,복내,2021-05-18,16.8,0,.9
765,복내,2021-05-19,19.3,0,.8
765,복내,2021-05-20,15.8,17,.6
765,복내,2021-05-21,16,.5,2.1
765,복내,2021-05-22,18.4,0,1.6
765,복내,2021-05-23,19.7,0,.8
765,복내,2021-05-24,19,.5,1.4
765,복내,2021-05-25,15.8,0,1.8
765,복내,2021-05-26,15.6,.5,1.1
765,복내,2021-05-27,15.9,2,1.1
765,복내,2021-05-28,16.7,5.5,1.7
765,복내,2021-05-29,17.8,0,1.6
765,복내,2021-05-30,17.5,0,.8
765,복내,2021-05-31,19.2,0,.8
765,복내,2021-06-01,19.4,0,.8
765,복내,2021-06-02,20,0,.9
