지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2004-07-01,23.7,0,1.1
765,복내,2004-07-02,23,5,.6
765,복내,2004-07-03,24.3,20,.4
765,복내,2004-07-04,23.2,71.5,3.4
765,복내,2004-07-05,22.7,2.5,1.2
765,복내,2004-07-06,24.3,0,.9
765,복내,2004-07-07,23.7,41.5,1.7
765,복내,2004-07-08,23,0,.7
765,복내,2004-07-09,24.5,0,.9
765,복내,2004-07-10,24.6,0,.6
765,복내,2004-07-11,22.7,3,.6
765,복내,2004-07-12,26.4,0,1.8
765,복내,2004-07-13,26.4,0,1.5
765,복내,2004-07-14,,58,
765,복내,2004-07-15,23.1,43.5,.3
765,복내,2004-07-16,26,.5,1.3
765,복내,2004-07-17,25.7,1.5,.9
765,복내,2004-07-18,25.6,0,.9
765,복내,2004-07-19,27.5,0,1.6
765,복내,2004-07-20,27.4,0,1.3
765,복내,2004-07-21,28.1,0,.4
765,복내,2004-07-22,29.9,0,.7
765,복내,2004-07-23,29.9,0,.6
765,복내,2004-07-24,28.4,0,.9
765,복내,2004-07-25,27.3,0,.9
765,복내,2004-07-26,26.8,0,.9
765,복내,2004-07-27,27.1,0,1
765,복내,2004-07-28,27.7,0,.7
765,복내,2004-07-29,28.7,0,.7
765,복내,2004-07-30,29.7,0,.6
765,복내,2004-07-31,29.1,0,.6
765,복내,2004-08-01,29.1,0,.6
765,복내,2004-08-02,27.7,.5,.6
765,복내,2004-08-03,27.5,0,1
765,복내,2004-08-04,27.5,0,.9
765,복내,2004-08-05,27.5,0,1.1
765,복내,2004-08-06,27.4,0,.8
765,복내,2004-08-07,28.2,0,.6
765,복내,2004-08-08,28.2,0,.6
765,복내,2004-08-09,28.2,0,.5
765,복내,2004-08-10,26.9,1.5,.8
765,복내,2004-08-11,27.1,0,.6
765,복내,2004-08-12,27,0,.9
765,복내,2004-08-13,26,1,.5
765,복내,2004-08-14,28.1,0,.7
765,복내,2004-08-15,24.3,15.5,.6
765,복내,2004-08-16,25.3,0,.8
765,복내,2004-08-17,27.4,0,1
765,복내,2004-08-18,24.3,118,1.2
765,복내,2004-08-19,23.6,8,1.2
765,복내,2004-08-20,23.6,0,1
765,복내,2004-08-21,23.6,.5,.8
765,복내,2004-08-22,20.2,49.5,.4
765,복내,2004-08-23,21.5,34,.6
765,복내,2004-08-24,23.4,0,.9
765,복내,2004-08-25,25,0,.8
765,복내,2004-08-26,22.7,.5,.4
765,복내,2004-08-27,23.5,0,.6
765,복내,2004-08-28,24.2,0,.8
765,복내,2004-08-29,26.5,0,.5
765,복내,2004-08-30,25.9,0,1
765,복내,2004-08-31,23.6,0,.5
765,복내,2004-09-01,23.1,0,.6
765,복내,2004-09-02,23.1,0,.4
765,복내,2004-09-03,21.7,0,.5
765,복내,2004-09-04,22.7,0,.6
765,복내,2004-09-05,24.5,0,.7
765,복내,2004-09-06,25.1,0,1
765,복내,2004-09-07,22.9,0,1.3
765,복내,2004-09-08,21.5,0,.8
765,복내,2004-09-09,20.2,0,.2
765,복내,2004-09-10,20.1,3.5,.5
765,복내,2004-09-11,20.5,135.5,1.6
765,복내,2004-09-12,24.1,42,2.4
765,복내,2004-09-13,23.7,6,.4
765,복내,2004-09-14,23.9,.5,1.1
765,복내,2004-09-15,24.4,17,1.5
765,복내,2004-09-16,24.3,34,1
765,복내,2004-09-17,23,25,.3
765,복내,2004-09-18,23.1,39.5,.6
765,복내,2004-09-19,20,0,.5
765,복내,2004-09-20,18.2,42.5,.8
765,복내,2004-09-21,17.5,0,.9
765,복내,2004-09-22,17.8,0,.6
765,복내,2004-09-23,19.4,0,.4
765,복내,2004-09-24,20.4,0,.5
765,복내,2004-09-25,19.7,0,.6
765,복내,2004-09-26,20.1,1,.3
765,복내,2004-09-27,22.3,0,.5
765,복내,2004-09-28,19.7,2,.4
765,복내,2004-09-29,20.1,0,.6
765,복내,2004-09-30,19.4,0,.7
765,복내,2004-10-01,18.6,0,1.5
765,복내,2004-10-02,13.2,0,2.4
765,복내,2004-10-03,12.9,0,.6
765,복내,2004-10-04,14.2,0,.4
765,복내,2004-10-05,15.5,0,.5
765,복내,2004-10-06,15.9,0,.4
765,복내,2004-10-07,16.4,0,.4
765,복내,2004-10-08,17.5,0,.5
765,복내,2004-10-09,16.2,0,.4
765,복내,2004-10-10,16.1,0,.3
765,복내,2004-10-11,16.2,0,.4
765,복내,2004-10-12,13.5,0,1.1
765,복내,2004-10-13,12.3,0,.9
765,복내,2004-10-14,10.6,0,1.3
765,복내,2004-10-15,12.2,0,.7
765,복내,2004-10-16,14.3,0,.6
765,복내,2004-10-17,14.6,0,1
765,복내,2004-10-18,16.8,0,.4
765,복내,2004-10-19,16.1,0,.6
765,복내,2004-10-20,17.4,0,.8
765,복내,2004-10-21,15.3,0,.7
765,복내,2004-10-22,12.8,0,1.2
765,복내,2004-10-23,10,0,.6
765,복내,2004-10-24,12.5,0,.5
765,복내,2004-10-25,14.8,0,.7
765,복내,2004-10-26,12.7,0,1.4
765,복내,2004-10-27,8.7,0,.6
765,복내,2004-10-28,12.1,0,.5
765,복내,2004-10-29,13,0,.7
765,복내,2004-10-30,13.7,0,.6
765,복내,2004-10-31,13.3,0,.7
765,복내,2004-11-01,12.8,11.5,.6
765,복내,2004-11-02,12.1,.5,.9
765,복내,2004-11-03,10.8,.5,.9
765,복내,2004-11-04,10.3,0,.5
765,복내,2004-11-05,10.9,0,.6
765,복내,2004-11-06,10.7,0,.6
765,복내,2004-11-07,9.8,0,.7
765,복내,2004-11-08,11.8,0,.4
765,복내,2004-11-09,14.1,0,.9
765,복내,2004-11-10,17.5,73.5,1.8
765,복내,2004-11-11,14.4,0,1
765,복내,2004-11-12,7,0,2.1
765,복내,2004-11-13,4.7,1.5,.5
765,복내,2004-11-14,7.8,1.5,.5
765,복내,2004-11-15,6.6,0,1.8
765,복내,2004-11-16,4.5,0,.5
765,복내,2004-11-17,7.8,0,.4
765,복내,2004-11-18,8.1,0,.4
765,복내,2004-11-19,7.5,0,.5
765,복내,2004-11-20,7.5,0,.9
765,복내,2004-11-21,6.2,0,.6
765,복내,2004-11-22,5.1,0,.5
765,복내,2004-11-23,6.3,0,.4
765,복내,2004-11-24,7.3,0,.5
765,복내,2004-11-25,9.1,0,.7
765,복내,2004-11-26,7.9,9,1.9
765,복내,2004-11-27,5.7,0,1
765,복내,2004-11-28,5.4,0,.6
765,복내,2004-11-29,4.4,0,.8
765,복내,2004-11-30,3.5,0,.5
765,복내,2004-12-01,4.7,0,.4
765,복내,2004-12-02,7.1,0,.9
765,복내,2004-12-03,9.5,0,.5
765,복내,2004-12-04,10.4,32,.6
765,복내,2004-12-05,5.3,0,2.5
765,복내,2004-12-06,3.7,0,.7
765,복내,2004-12-07,4.4,0,.8
765,복내,2004-12-08,2.5,0,.6
765,복내,2004-12-09,4,0,.5
765,복내,2004-12-10,6,0,.9
765,복내,2004-12-11,4.8,0,.5
765,복내,2004-12-12,5.7,0,.5
765,복내,2004-12-13,3.5,0,.7
765,복내,2004-12-14,3.7,0,.5
765,복내,2004-12-15,8,0,.3
765,복내,2004-12-16,6.9,0,1.2
765,복내,2004-12-17,5,0,.4
765,복내,2004-12-18,5.8,0,.7
765,복내,2004-12-19,5.7,0,.4
765,복내,2004-12-20,2.3,1,1.8
765,복내,2004-12-21,.4,0,.9
765,복내,2004-12-22,1.1,0,.9
765,복내,2004-12-23,-1.4,0,1.6
765,복내,2004-12-24,-1.5,.5,.9
765,복내,2004-12-25,2,0,1.7
765,복내,2004-12-26,.7,0,1.5
765,복내,2004-12-27,-.5,0,1.7
765,복내,2004-12-28,-1.8,0,1.5
765,복내,2004-12-29,-2.8,0,1.8
765,복내,2004-12-30,-1,0,.9
765,복내,2004-12-31,-2.5,0,1.5
