지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2005-07-01,24,17.5,.8
765,복내,2005-07-02,,8,
765,복내,2005-07-03,25,8.5,.6
765,복내,2005-07-04,23.6,7.5,.7
765,복내,2005-07-05,21.6,2.5,.4
765,복내,2005-07-06,24,0,.6
765,복내,2005-07-07,24.5,0,1
765,복내,2005-07-08,22.5,10.5,1.3
765,복내,2005-07-09,22.6,21.5,1.3
765,복내,2005-07-10,23.1,2.5,.6
765,복내,2005-07-11,22.3,22.5,1.5
765,복내,2005-07-12,23,0,.9
765,복내,2005-07-13,23.7,4,.6
765,복내,2005-07-14,23.2,0,.8
765,복내,2005-07-15,25.1,15.5,.7
765,복내,2005-07-16,25.5,3,.4
765,복내,2005-07-17,26.1,2.5,.7
765,복내,2005-07-18,28.5,0,.6
765,복내,2005-07-19,28.3,0,.6
765,복내,2005-07-20,28.2,0,.7
765,복내,2005-07-21,28.8,0,.6
765,복내,2005-07-22,29.7,0,.6
765,복내,2005-07-23,28.8,0,1
765,복내,2005-07-24,28.3,0,.8
765,복내,2005-07-25,27.9,0,.6
765,복내,2005-07-26,27.2,0,1
765,복내,2005-07-27,26.8,0,.9
765,복내,2005-07-28,24.7,39,1.1
765,복내,2005-07-29,23.8,11.5,.4
765,복내,2005-07-30,25.7,0,.7
765,복내,2005-07-31,27.2,0,.8
765,복내,2005-08-01,25.2,46.5,.9
765,복내,2005-08-02,25.2,58.5,1
765,복내,2005-08-03,28.2,1,2.3
765,복내,2005-08-04,27.7,.5,1.2
765,복내,2005-08-05,27.5,0,.8
765,복내,2005-08-06,27.2,0,.9
765,복내,2005-08-07,25.7,6,.7
765,복내,2005-08-08,27.2,10.5,1.6
765,복내,2005-08-09,,35.5,1.7
765,복내,2005-08-10,,3.5,
765,복내,2005-08-11,26.1,3.5,.7
765,복내,2005-08-12,27.4,0,.7
765,복내,2005-08-13,27.9,0,.6
765,복내,2005-08-14,,0,
765,복내,2005-08-15,26.8,0,.5
765,복내,2005-08-16,28.1,0,.4
765,복내,2005-08-17,25.9,4.5,.8
765,복내,2005-08-18,24.5,23.5,.6
765,복내,2005-08-19,24.1,22,.3
765,복내,2005-08-20,22.3,5,.4
765,복내,2005-08-21,24,9,.5
765,복내,2005-08-22,23.4,.5,.4
765,복내,2005-08-23,23.5,0,1
765,복내,2005-08-24,22,22.5,1.6
765,복내,2005-08-25,23.5,5,1.5
765,복내,2005-08-26,21.8,0,.6
765,복내,2005-08-27,22.9,0,.4
765,복내,2005-08-28,23,0,.5
765,복내,2005-08-29,23.4,0,.7
765,복내,2005-08-30,21.3,0,.3
765,복내,2005-08-31,24.5,0,.6
765,복내,2005-09-01,25.9,5,.6
765,복내,2005-09-02,27.4,0,.4
765,복내,2005-09-03,24.1,22.5,.4
765,복내,2005-09-04,22.8,3.5,.5
765,복내,2005-09-05,22.9,0,.8
765,복내,2005-09-06,23.8,0,1.3
765,복내,2005-09-07,23.9,0,1
765,복내,2005-09-08,23.9,0,.7
765,복내,2005-09-09,23.5,0,.7
765,복내,2005-09-10,24.8,0,.5
765,복내,2005-09-11,24.5,0,.5
765,복내,2005-09-12,26.1,0,.7
765,복내,2005-09-13,24.7,3.5,1.6
765,복내,2005-09-14,21.7,0,1
765,복내,2005-09-15,21.1,0,1
765,복내,2005-09-16,21.4,0,.8
765,복내,2005-09-17,25.4,0,1.3
765,복내,2005-09-18,22.9,4.5,.3
765,복내,2005-09-19,22.6,0,.4
765,복내,2005-09-20,23.9,24,1
765,복내,2005-09-21,20.2,19,1.6
765,복내,2005-09-22,20.2,6.5,1
765,복내,2005-09-23,20.4,0,.6
765,복내,2005-09-24,20.6,0,.5
765,복내,2005-09-25,19.4,0,.6
765,복내,2005-09-26,19.3,0,.6
765,복내,2005-09-27,17.5,0,.2
765,복내,2005-09-28,17.6,0,.8
765,복내,2005-09-29,19.3,0,1.1
765,복내,2005-09-30,21.4,0,.8
765,복내,2005-10-01,24,1,.6
765,복내,2005-10-02,20.9,0,.9
765,복내,2005-10-03,17.9,0,.4
765,복내,2005-10-04,13.4,8,.5
765,복내,2005-10-05,13.9,0,.3
765,복내,2005-10-06,15.5,0,.7
765,복내,2005-10-07,16.1,3,.4
765,복내,2005-10-08,15.7,0,.6
765,복내,2005-10-09,15.3,0,.4
765,복내,2005-10-10,15.9,0,.6
765,복내,2005-10-11,15.1,0,.6
765,복내,2005-10-12,16.6,0,.7
765,복내,2005-10-13,18,0,.3
765,복내,2005-10-14,16.1,0,.7
765,복내,2005-10-15,13.2,0,1
765,복내,2005-10-16,11.8,0,.5
765,복내,2005-10-17,12.1,0,.5
765,복내,2005-10-18,12.9,0,.5
765,복내,2005-10-19,13,0,.5
765,복내,2005-10-20,13.7,0,.4
765,복내,2005-10-21,12,0,.8
765,복내,2005-10-22,8.7,0,1.5
765,복내,2005-10-23,7,0,.7
765,복내,2005-10-24,9,0,.5
765,복내,2005-10-25,10.8,0,.5
765,복내,2005-10-26,12,0,.4
765,복내,2005-10-27,13.1,0,.5
765,복내,2005-10-28,12.9,0,.8
765,복내,2005-10-29,10.2,0,1.2
765,복내,2005-10-30,6,0,.7
765,복내,2005-10-31,6.8,0,.6
765,복내,2005-11-01,7.4,0,.4
765,복내,2005-11-02,9.4,0,.3
765,복내,2005-11-03,13.8,0,.6
765,복내,2005-11-04,15.6,0,.6
765,복내,2005-11-05,16.4,17.5,.8
765,복내,2005-11-06,16,22.5,1.1
765,복내,2005-11-07,10.1,0,.8
765,복내,2005-11-08,8.9,0,.7
765,복내,2005-11-09,6.7,0,.4
765,복내,2005-11-10,10.6,0,.5
765,복내,2005-11-11,12,14,.1
765,복내,2005-11-12,7.1,0,.3
765,복내,2005-11-13,8.5,0,.4
765,복내,2005-11-14,8.2,0,.9
765,복내,2005-11-15,4.5,0,1.7
765,복내,2005-11-16,2.9,0,1
765,복내,2005-11-17,3,0,1.2
765,복내,2005-11-18,4.5,0,1.6
765,복내,2005-11-19,1.9,0,.6
765,복내,2005-11-20,1.9,0,.7
765,복내,2005-11-21,2.8,0,.4
765,복내,2005-11-22,3.3,0,.6
765,복내,2005-11-23,3.7,0,.3
765,복내,2005-11-24,4.5,0,.5
765,복내,2005-11-25,3.3,0,.7
765,복내,2005-11-26,4.7,0,.7
765,복내,2005-11-27,5.6,2.5,0
765,복내,2005-11-28,6.7,0,.3
765,복내,2005-11-29,6.1,0,.8
765,복내,2005-11-30,4.9,0,.4
765,복내,2005-12-01,5.5,0,.5
765,복내,2005-12-02,5.7,0,1.4
765,복내,2005-12-03,3.1,0,1
765,복내,2005-12-04,-1,6,1
765,복내,2005-12-05,-1,8,1.6
765,복내,2005-12-06,-.2,0,.9
765,복내,2005-12-07,-.7,0,.4
765,복내,2005-12-08,-1.1,0,.4
765,복내,2005-12-09,-.9,0,.4
765,복내,2005-12-10,.9,0,.7
765,복내,2005-12-11,-1.3,0,1.6
765,복내,2005-12-12,-2.2,0,1.5
765,복내,2005-12-13,-3,0,1.6
765,복내,2005-12-14,-2.8,0,.8
765,복내,2005-12-15,-2.3,.5,.6
765,복내,2005-12-16,-.1,.5,.7
765,복내,2005-12-17,-4,0,2
765,복내,2005-12-18,-4.7,0,.7
765,복내,2005-12-19,-2.4,0,.4
765,복내,2005-12-20,-1.3,0,.6
765,복내,2005-12-21,-3.2,5.5,1
765,복내,2005-12-22,-4,7,.9
765,복내,2005-12-23,.3,5,.9
765,복내,2005-12-24,-1.5,0,1.2
765,복내,2005-12-25,-1.5,0,.9
765,복내,2005-12-26,-1.9,0,1.7
765,복내,2005-12-27,-2.2,0,1.6
765,복내,2005-12-28,-2.7,0,.5
765,복내,2005-12-29,-2.2,0,.5
765,복내,2005-12-30,0,0,.5
765,복내,2005-12-31,1.2,0,.6
