지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2009-07-01,22.9,0,.7
765,복내,2009-07-02,22.8,0,.9
765,복내,2009-07-03,22.7,0,.7
765,복내,2009-07-04,23,10.5,.7
765,복내,2009-07-05,24.1,0,.8
765,복내,2009-07-06,24.6,0,1.1
765,복내,2009-07-07,23.1,202.5,.8
765,복내,2009-07-08,25.5,0,.8
765,복내,2009-07-09,26,18,2.2
765,복내,2009-07-10,25.2,0,.6
765,복내,2009-07-11,20.9,58,.6
765,복내,2009-07-12,24.6,10,1.7
765,복내,2009-07-13,26.3,25,.8
765,복내,2009-07-14,26.8,6,2.7
765,복내,2009-07-15,21.7,83.5,1.3
765,복내,2009-07-16,24.9,164.5,.9
765,복내,2009-07-17,26.3,1.5,.8
765,복내,2009-07-18,27.2,1.5,1.6
765,복내,2009-07-19,27.1,11.5,1
765,복내,2009-07-20,27.7,1,.6
765,복내,2009-07-21,25.2,48.5,.6
765,복내,2009-07-22,25.8,0,.7
765,복내,2009-07-23,23,.5,.7
765,복내,2009-07-24,21.5,16.5,.6
765,복내,2009-07-25,,.5,
765,복내,2009-07-26,24,2,.7
765,복내,2009-07-27,24.5,0,.9
765,복내,2009-07-28,21.5,41,.5
765,복내,2009-07-29,23.2,19.5,.6
765,복내,2009-07-30,25.8,0,1
765,복내,2009-07-31,25.6,.5,1
765,복내,2009-08-01,24.5,8.5,.8
765,복내,2009-08-02,25,0,.7
765,복내,2009-08-03,22.8,.5,.5
765,복내,2009-08-04,25,0,.7
765,복내,2009-08-05,25.8,0,.9
765,복내,2009-08-06,26.1,0,.6
765,복내,2009-08-07,25.6,55,.3
765,복내,2009-08-08,27.4,0,.8
765,복내,2009-08-09,28,0,1
765,복내,2009-08-10,26,0,.5
765,복내,2009-08-11,25.5,48,1.2
765,복내,2009-08-12,25.8,8,1.5
765,복내,2009-08-13,27.4,.5,.7
765,복내,2009-08-14,24.9,0,.6
765,복내,2009-08-15,26.9,0,.8
765,복내,2009-08-16,26.5,0,.7
765,복내,2009-08-17,26.4,.5,.6
765,복내,2009-08-18,26.9,0,.7
765,복내,2009-08-19,27.3,0,.9
765,복내,2009-08-20,27.6,5,1.1
765,복내,2009-08-21,26.8,7.5,.3
765,복내,2009-08-22,25.6,0,.6
765,복내,2009-08-23,23.4,0,.4
765,복내,2009-08-24,24.2,0,.6
765,복내,2009-08-25,24.7,0,.9
765,복내,2009-08-26,24.7,0,1.1
765,복내,2009-08-27,24.5,19,.8
765,복내,2009-08-28,26.8,14,.9
765,복내,2009-08-29,23.6,0,.5
765,복내,2009-08-30,21.4,0,.2
765,복내,2009-08-31,21.5,0,.3
765,복내,2009-09-01,22.6,0,.7
765,복내,2009-09-02,22.9,0,.6
765,복내,2009-09-03,23.5,0,.6
765,복내,2009-09-04,24.4,0,.7
765,복내,2009-09-05,26.1,0,.5
765,복내,2009-09-06,,0,
765,복내,2009-09-07,25.6,0,.7
765,복내,2009-09-08,25.1,0,.8
765,복내,2009-09-09,23.3,0,.5
765,복내,2009-09-10,21.9,0,.5
765,복내,2009-09-11,20.4,1,.3
765,복내,2009-09-12,20.1,.5,.7
765,복내,2009-09-13,20.8,0,.5
765,복내,2009-09-14,19.9,0,.1
765,복내,2009-09-15,21.7,.5,.5
765,복내,2009-09-16,21,0,.4
765,복내,2009-09-17,22,0,.6
765,복내,2009-09-18,23,0,.5
765,복내,2009-09-19,21.2,0,.5
765,복내,2009-09-20,19.6,0,.8
765,복내,2009-09-21,18.6,2,.2
765,복내,2009-09-22,20.9,0,.5
765,복내,2009-09-23,23,10.5,.4
765,복내,2009-09-24,24.3,0,.4
765,복내,2009-09-25,21.8,5.5,.1
765,복내,2009-09-26,22.9,0,.5
765,복내,2009-09-27,19.4,24.5,.2
765,복내,2009-09-28,22.6,0,.6
765,복내,2009-09-29,21.7,0,.5
765,복내,2009-09-30,20.4,1,.3
765,복내,2009-10-01,21.8,20.5,.5
765,복내,2009-10-02,20.8,16,.9
765,복내,2009-10-03,18.8,0,.9
765,복내,2009-10-04,16.4,0,.4
765,복내,2009-10-05,16.5,0,.4
765,복내,2009-10-06,17.2,0,.4
765,복내,2009-10-07,18.2,0,.7
765,복내,2009-10-08,16.3,0,.6
765,복내,2009-10-09,15.4,0,.5
765,복내,2009-10-10,14.8,0,.5
765,복내,2009-10-11,15.2,0,.5
765,복내,2009-10-12,14.8,0,.4
765,복내,2009-10-13,15.6,.5,.4
765,복내,2009-10-14,15,3.5,.7
765,복내,2009-10-15,14.4,0,.6
765,복내,2009-10-16,14.7,0,.4
765,복내,2009-10-17,14.6,7.5,1.1
765,복내,2009-10-18,14.1,0,.6
765,복내,2009-10-19,13.6,0,1.1
765,복내,2009-10-20,12.8,0,.9
765,복내,2009-10-21,13.2,0,.6
765,복내,2009-10-22,13.8,0,.4
765,복내,2009-10-23,,0,
765,복내,2009-10-24,14.5,0,.6
765,복내,2009-10-25,14.9,0,.5
765,복내,2009-10-26,13.8,0,.5
765,복내,2009-10-27,15.2,0,.5
765,복내,2009-10-28,14.7,0,.6
765,복내,2009-10-29,13.7,10.5,.4
765,복내,2009-10-30,15.8,0,.3
765,복내,2009-10-31,16.7,0,.8
765,복내,2009-11-01,13.8,0,1.5
765,복내,2009-11-02,5.1,2.5,1.7
765,복내,2009-11-03,5.4,0,.9
765,복내,2009-11-04,9,0,.7
765,복내,2009-11-05,13.2,0,.4
765,복내,2009-11-06,14.6,0,.6
765,복내,2009-11-07,16.6,0,.4
765,복내,2009-11-08,17.5,25,.5
765,복내,2009-11-09,18.5,0,.5
765,복내,2009-11-10,15.8,2,.5
765,복내,2009-11-11,12.9,0,.9
765,복내,2009-11-12,11.7,0,1
765,복내,2009-11-13,12,7,.4
765,복내,2009-11-14,9,0,1.5
765,복내,2009-11-15,5.3,0,1.7
765,복내,2009-11-16,3.2,0,1.4
765,복내,2009-11-17,2.3,0,1.5
765,복내,2009-11-18,3.1,0,.8
765,복내,2009-11-19,4.2,0,.6
765,복내,2009-11-20,3.7,0,.8
765,복내,2009-11-21,3.3,0,.8
765,복내,2009-11-22,1.4,0,.5
765,복내,2009-11-23,4.1,0,.3
765,복내,2009-11-24,6.1,0,.4
765,복내,2009-11-25,5.5,0,.3
765,복내,2009-11-26,8.1,0,.4
765,복내,2009-11-27,8.1,0,.6
765,복내,2009-11-28,6.4,0,.4
765,복내,2009-11-29,4.8,5,.3
765,복내,2009-11-30,5.3,0,.7
765,복내,2009-12-01,3.6,0,.4
765,복내,2009-12-02,3.6,0,.3
765,복내,2009-12-03,4,0,.8
765,복내,2009-12-04,3.4,0,.5
765,복내,2009-12-05,3,6,1.7
765,복내,2009-12-06,1.3,0,1.7
765,복내,2009-12-07,1.1,0,.6
765,복내,2009-12-08,2.3,0,.3
765,복내,2009-12-09,5.8,5.5,.3
765,복내,2009-12-10,10.2,11.5,.5
765,복내,2009-12-11,10.2,1.5,.6
765,복내,2009-12-12,7.1,0,.8
765,복내,2009-12-13,5.3,0,.7
765,복내,2009-12-14,3.5,0,1
765,복내,2009-12-15,.3,0,1.5
765,복내,2009-12-16,-3.2,0,1.6
765,복내,2009-12-17,-3.2,.5,.7
765,복내,2009-12-18,-4.7,0,.9
765,복내,2009-12-19,-2.1,0,1.5
765,복내,2009-12-20,-.4,.5,1.3
765,복내,2009-12-21,-1.3,0,1.1
765,복내,2009-12-22,.3,0,.4
765,복내,2009-12-23,2.1,0,.4
765,복내,2009-12-24,2.9,0,.4
765,복내,2009-12-25,3.1,0,.7
765,복내,2009-12-26,-1.4,0,1.5
765,복내,2009-12-27,-3.3,0,.9
765,복내,2009-12-28,-3,0,.5
765,복내,2009-12-29,-2.7,0,.2
765,복내,2009-12-30,.4,0,1.5
765,복내,2009-12-31,-5.6,2,1.4
