지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2012-01-01,.8,1,1
765,복내,2012-01-02,-2.1,0,.8
765,복내,2012-01-03,-1.1,.5,.9
765,복내,2012-01-04,-3,.5,1.4
765,복내,2012-01-05,-3,0,.9
765,복내,2012-01-06,-1.8,0,.7
765,복내,2012-01-07,-3.2,0,.5
765,복내,2012-01-08,-1.6,0,.8
765,복내,2012-01-09,1,0,.8
765,복내,2012-01-10,1.2,0,1
765,복내,2012-01-11,-1.6,0,1.3
765,복내,2012-01-12,-2.9,0,.8
765,복내,2012-01-13,-.1,0,.6
765,복내,2012-01-14,.6,0,.9
765,복내,2012-01-15,1.1,0,.4
765,복내,2012-01-16,3.3,0,.6
765,복내,2012-01-17,2.6,0,.4
765,복내,2012-01-18,3.7,0,.4
765,복내,2012-01-19,4.5,3,.3
765,복내,2012-01-20,6.1,0,.3
765,복내,2012-01-21,4.1,1.5,.6
765,복내,2012-01-22,-1.1,0,2
765,복내,2012-01-23,-5.4,0,1.6
765,복내,2012-01-24,-6.4,0,.5
765,복내,2012-01-25,-5.3,0,.9
765,복내,2012-01-26,-3.8,0,.5
765,복내,2012-01-27,.7,0,.6
765,복내,2012-01-28,.7,0,.5
765,복내,2012-01-29,-.2,0,.6
765,복내,2012-01-30,-1.2,0,1.1
765,복내,2012-01-31,-1.6,2,1
765,복내,2012-02-01,-3.5,1,1.8
765,복내,2012-02-02,-8,0,1.6
765,복내,2012-02-03,-5.9,0,.7
765,복내,2012-02-04,-2.1,0,.5
765,복내,2012-02-05,-1.8,0,.4
765,복내,2012-02-06,.3,5,.4
765,복내,2012-02-07,-3.5,0,1.4
765,복내,2012-02-08,-5.8,.5,1.1
765,복내,2012-02-09,-2.6,0,.7
765,복내,2012-02-10,-1.4,0,.7
765,복내,2012-02-11,-1.4,0,.9
765,복내,2012-02-12,.1,0,.7
765,복내,2012-02-13,2,0,.4
765,복내,2012-02-14,3.5,12.5,.5
765,복내,2012-02-15,3.9,0,1
765,복내,2012-02-16,1.5,0,1.8
765,복내,2012-02-17,-2.5,0,1.5
765,복내,2012-02-18,-4.2,0,1.4
765,복내,2012-02-19,-2.4,0,1
765,복내,2012-02-20,-1.1,0,.6
765,복내,2012-02-21,-.5,2.5,.4
765,복내,2012-02-22,5,.5,.8
765,복내,2012-02-23,6.7,0,1
765,복내,2012-02-24,4.9,0,1
765,복내,2012-02-25,2.5,0,1.4
765,복내,2012-02-26,.2,0,1
765,복내,2012-02-27,1,0,1
765,복내,2012-02-28,1.3,.5,.5
765,복내,2012-02-29,4.7,0,.8
765,복내,2012-03-01,6.8,0,.8
765,복내,2012-03-02,6.1,2.5,.3
765,복내,2012-03-03,8,0,1
765,복내,2012-03-04,6.4,8,1
765,복내,2012-03-05,6.4,23,1.3
765,복내,2012-03-06,5.4,2,1.1
765,복내,2012-03-07,5.2,0,.8
765,복내,2012-03-08,5.4,0,.9
765,복내,2012-03-09,4.4,0,.8
765,복내,2012-03-10,4.1,0,.9
765,복내,2012-03-11,.4,0,1.7
765,복내,2012-03-12,.7,0,1.5
765,복내,2012-03-13,2.1,0,.7
765,복내,2012-03-14,3.8,0,.8
765,복내,2012-03-15,8.2,0,1.3
765,복내,2012-03-16,8.2,7,1.5
765,복내,2012-03-17,10.5,.5,.8
765,복내,2012-03-18,7.2,0,1
765,복내,2012-03-19,4.8,0,.8
765,복내,2012-03-20,4.8,0,1.2
765,복내,2012-03-21,5.8,0,1
765,복내,2012-03-22,3.4,25,.5
765,복내,2012-03-23,6.9,14,1
765,복내,2012-03-24,5.7,1.5,2
765,복내,2012-03-25,5,0,1.8
765,복내,2012-03-26,4.8,0,.9
765,복내,2012-03-27,8.7,0,1
765,복내,2012-03-28,12,0,.9
765,복내,2012-03-29,11.5,0,1.3
765,복내,2012-03-30,12.6,66,.9
765,복내,2012-03-31,7.3,0,1.9
765,복내,2012-04-01,6.3,0,1.2
765,복내,2012-04-02,9.4,6.5,1.5
765,복내,2012-04-03,7.9,16,2.4
765,복내,2012-04-04,8.4,0,1.9
765,복내,2012-04-05,9.6,0,1.4
765,복내,2012-04-06,6.8,0,1.4
765,복내,2012-04-07,8.6,0,1.2
765,복내,2012-04-08,12.4,0,1.4
765,복내,2012-04-09,16.4,0,1.1
765,복내,2012-04-10,12.6,4,1.3
765,복내,2012-04-11,12.8,1.5,.8
765,복내,2012-04-12,11.5,0,1
765,복내,2012-04-13,10.3,1,.5
765,복내,2012-04-14,14.6,0,.9
765,복내,2012-04-15,15.7,0,1.1
765,복내,2012-04-16,15.1,0,1
765,복내,2012-04-17,11.5,0,1.1
765,복내,2012-04-18,13.7,0,1.1
765,복내,2012-04-19,11.3,5,.6
765,복내,2012-04-20,14.2,2,1.2
765,복내,2012-04-21,14.4,62,2.1
765,복내,2012-04-22,11.7,.5,1.1
765,복내,2012-04-23,15.8,0,1
765,복내,2012-04-24,17.5,0,1.4
765,복내,2012-04-25,15.3,44.5,2
765,복내,2012-04-26,12.4,0,1.5
765,복내,2012-04-27,12.1,0,1.2
765,복내,2012-04-28,14.3,0,1.1
765,복내,2012-04-29,15.2,0,.8
765,복내,2012-04-30,17.8,0,1.3
765,복내,2012-05-01,17.3,20.5,.6
765,복내,2012-05-02,19.3,.5,.5
765,복내,2012-05-03,18.8,0,1
765,복내,2012-05-04,20.2,0,.9
765,복내,2012-05-05,19.1,.5,1.1
765,복내,2012-05-06,17.9,0,.9
765,복내,2012-05-07,20.1,0,.7
765,복내,2012-05-08,20.6,0,1.3
765,복내,2012-05-09,20.8,0,.9
765,복내,2012-05-10,17.4,0,1.4
765,복내,2012-05-11,15.7,0,1.5
765,복내,2012-05-12,15.5,0,1.6
765,복내,2012-05-13,15,0,.5
765,복내,2012-05-14,16.2,7.5,.6
765,복내,2012-05-15,18.5,.5,.9
765,복내,2012-05-16,17.3,0,.9
765,복내,2012-05-17,17,.5,1.4
765,복내,2012-05-18,16.8,0,1
765,복내,2012-05-19,15.6,0,.6
765,복내,2012-05-20,18.3,0,.9
765,복내,2012-05-21,19.7,0,1.1
765,복내,2012-05-22,,0,
765,복내,2012-05-23,20.7,0,.8
765,복내,2012-05-24,19.5,0,.5
765,복내,2012-05-25,19.4,0,.9
765,복내,2012-05-26,20,0,.6
765,복내,2012-05-27,19.8,0,.7
765,복내,2012-05-28,20.6,0,1
765,복내,2012-05-29,21.6,0,.9
