지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2018-07-01,24.3,217,1.7
765,복내,2018-07-02,24.8,16.5,1.2
765,복내,2018-07-03,25.7,0,2.5
765,복내,2018-07-04,26.4,0,1.5
765,복내,2018-07-05,24.2,3.5,.1
765,복내,2018-07-06,22.6,0,1.2
765,복내,2018-07-07,23,0,1.6
765,복내,2018-07-08,22.4,0,2
765,복내,2018-07-09,21.3,4,1.7
765,복내,2018-07-10,24.7,0,1.3
765,복내,2018-07-11,25.3,0,1
765,복내,2018-07-12,26.8,0,.7
765,복내,2018-07-13,27.4,0,.4
765,복내,2018-07-14,27.6,0,1
765,복내,2018-07-15,28,0,.8
765,복내,2018-07-16,27.2,0,1
765,복내,2018-07-17,27.2,0,.5
765,복내,2018-07-18,27.2,0,.2
765,복내,2018-07-19,27.9,0,.8
765,복내,2018-07-20,28.2,0,0
765,복내,2018-07-21,28,0,.7
765,복내,2018-07-22,27.1,0,1.6
765,복내,2018-07-23,27.3,0,.9
765,복내,2018-07-24,28,0,.8
765,복내,2018-07-25,28.1,0,.6
765,복내,2018-07-26,29.2,0,.8
765,복내,2018-07-27,30.1,0,1
765,복내,2018-07-28,27.9,34,1.3
765,복내,2018-07-29,29.5,0,1.3
765,복내,2018-07-30,27.8,0,1.6
765,복내,2018-07-31,28.3,0,1.3
765,복내,2018-08-01,28.7,0,1.4
765,복내,2018-08-02,28.3,0,1.8
765,복내,2018-08-03,27.7,0,1.8
765,복내,2018-08-04,28.5,0,1
765,복내,2018-08-05,29,0,1.6
765,복내,2018-08-06,28.7,0,.9
765,복내,2018-08-07,27.4,11,.8
765,복내,2018-08-08,28.5,0,.8
765,복내,2018-08-09,28.7,0,1.1
765,복내,2018-08-10,28.2,0,1.2
765,복내,2018-08-11,27.1,0,1.7
765,복내,2018-08-12,26.9,0,1.6
765,복내,2018-08-13,27.8,2.5,1.5
765,복내,2018-08-14,28.3,0,1.1
765,복내,2018-08-15,27.7,3.5,1
765,복내,2018-08-16,27.2,1,1.9
765,복내,2018-08-17,25.3,0,3.4
765,복내,2018-08-18,23.3,0,1.5
765,복내,2018-08-19,24,0,1
765,복내,2018-08-20,24.1,0,1.3
765,복내,2018-08-21,26.2,0,1.1
765,복내,2018-08-22,27.9,0,2.8
765,복내,2018-08-23,26.2,113,7.2
765,복내,2018-08-24,25.4,9.5,2.4
765,복내,2018-08-25,23.6,2.5,0
765,복내,2018-08-26,24.8,202,1.2
765,복내,2018-08-27,25.4,21,.9
765,복내,2018-08-28,26.3,.5,.6
765,복내,2018-08-29,26.2,0,1.1
765,복내,2018-08-30,26.8,1,1
765,복내,2018-08-31,24.1,81.5,.5
765,복내,2018-09-01,22.3,107,1.1
765,복내,2018-09-02,22,1.5,2
765,복내,2018-09-03,24.6,2,1.2
765,복내,2018-09-04,23.1,46.5,1.9
765,복내,2018-09-05,21.7,0,.9
765,복내,2018-09-06,21.6,0,.2
765,복내,2018-09-07,20.6,6.5,.5
765,복내,2018-09-08,17.5,0,.4
765,복내,2018-09-09,19.9,0,1.1
765,복내,2018-09-10,19.3,0,.8
765,복내,2018-09-11,18.6,0,1.3
765,복내,2018-09-12,21.6,0,.9
765,복내,2018-09-13,20.7,25,1
765,복내,2018-09-14,22.2,7,1.3
765,복내,2018-09-15,22.7,.5,.7
765,복내,2018-09-16,23.7,0,.9
765,복내,2018-09-17,22,0,1.3
765,복내,2018-09-18,21.2,0,1.2
765,복내,2018-09-19,20,3.5,.6
765,복내,2018-09-20,21,8.5,.7
765,복내,2018-09-21,19.8,17.5,1.1
765,복내,2018-09-22,19.7,0,1.2
765,복내,2018-09-23,18.7,0,1.2
765,복내,2018-09-24,15.8,0,1.1
765,복내,2018-09-25,15.4,0,1
765,복내,2018-09-26,17.2,0,1.4
765,복내,2018-09-27,17,0,1.1
765,복내,2018-09-28,18.1,0,1.4
765,복내,2018-09-29,18,0,1
765,복내,2018-09-30,18.4,0,3
765,복내,2018-10-01,15.8,.5,2
765,복내,2018-10-02,15.2,0,1.2
765,복내,2018-10-03,14.6,0,1
765,복내,2018-10-04,17.5,.5,1.9
765,복내,2018-10-05,18.7,69,1.3
765,복내,2018-10-06,19.3,94,3.7
765,복내,2018-10-07,17.2,0,1.8
765,복내,2018-10-08,16.1,0,2
765,복내,2018-10-09,14.7,0,.8
765,복내,2018-10-10,14.6,0,2.8
765,복내,2018-10-11,10.8,0,2.3
765,복내,2018-10-12,9.7,0,1.1
765,복내,2018-10-13,10.9,0,1.1
765,복내,2018-10-14,13.3,0,1.1
765,복내,2018-10-15,13.5,0,.8
765,복내,2018-10-16,11.8,0,.8
765,복내,2018-10-17,11.2,0,1.4
765,복내,2018-10-18,10,0,1.5
765,복내,2018-10-19,10.4,0,.9
765,복내,2018-10-20,10.5,0,1
765,복내,2018-10-21,10.9,0,1.1
765,복내,2018-10-22,12.5,0,.9
765,복내,2018-10-23,12.6,0,1.1
765,복내,2018-10-24,11.9,0,1.1
765,복내,2018-10-25,11.4,0,1.1
765,복내,2018-10-26,12.7,3.5,1.2
765,복내,2018-10-27,10.6,0,2.5
765,복내,2018-10-28,11.5,.5,1.6
765,복내,2018-10-29,10.8,0,1.6
765,복내,2018-10-30,7.4,0,2
765,복내,2018-10-31,7.1,0,1.5
765,복내,2018-11-01,6.6,0,1.5
765,복내,2018-11-02,7.3,0,1
765,복내,2018-11-03,8.3,0,1
765,복내,2018-11-04,8.9,0,.9
765,복내,2018-11-05,9.2,0,.8
765,복내,2018-11-06,10.2,0,.8
765,복내,2018-11-07,13.1,2,.6
765,복내,2018-11-08,14.7,28,1.5
765,복내,2018-11-09,11.2,.5,2
765,복내,2018-11-10,9.9,0,1.2
765,복내,2018-11-11,10.3,6,1
765,복내,2018-11-12,10,1,1.9
765,복내,2018-11-13,7.3,0,.9
765,복내,2018-11-14,7.3,0,.8
765,복내,2018-11-15,9.1,0,1.1
765,복내,2018-11-16,8.9,4,.9
765,복내,2018-11-17,7.7,0,1.6
765,복내,2018-11-18,5.5,0,1
765,복내,2018-11-19,5.6,0,1
765,복내,2018-11-20,4.3,0,.9
765,복내,2018-11-21,6.4,0,.9
765,복내,2018-11-22,5.2,0,2.9
765,복내,2018-11-23,1.8,0,1.1
765,복내,2018-11-24,5.6,6.5,.7
765,복내,2018-11-25,6.9,0,1.4
765,복내,2018-11-26,6.8,0,1.2
765,복내,2018-11-27,8,0,1.1
765,복내,2018-11-28,5.4,0,.9
765,복내,2018-11-29,5.1,0,.7
765,복내,2018-11-30,4.9,0,.9
765,복내,2018-12-01,4.6,0,.6
765,복내,2018-12-02,10.3,0,1.3
765,복내,2018-12-03,14.2,8,.6
765,복내,2018-12-04,11,11,2.3
765,복내,2018-12-05,5.6,0,2.2
765,복내,2018-12-06,4.6,5.5,2.6
765,복내,2018-12-07,-1.1,0,4
765,복내,2018-12-08,-2.9,0,1.9
765,복내,2018-12-09,-2.5,0,2.5
765,복내,2018-12-10,-1.6,0,1
765,복내,2018-12-11,1.3,1.5,1.5
765,복내,2018-12-12,.9,0,2.8
765,복내,2018-12-13,1.4,0,2.2
765,복내,2018-12-14,.1,0,2.6
765,복내,2018-12-15,-1.2,0,.6
765,복내,2018-12-16,.2,0,.6
765,복내,2018-12-17,2.1,.5,1.5
765,복내,2018-12-18,.7,0,1.1
765,복내,2018-12-19,3,0,.6
765,복내,2018-12-20,4.8,0,.5
765,복내,2018-12-21,6,0,.9
765,복내,2018-12-22,8.5,0,1.3
765,복내,2018-12-23,6.4,2,3.6
765,복내,2018-12-24,.7,0,2.1
765,복내,2018-12-25,1.4,0,1
765,복내,2018-12-26,4.1,0,2.4
765,복내,2018-12-27,-2.7,0,4.8
765,복내,2018-12-28,-5,0,2.9
765,복내,2018-12-29,-4.4,0,2.1
765,복내,2018-12-30,-2.4,0,2.4
765,복내,2018-12-31,-2.9,0,1.5
