지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2011-07-01,25.1,0,.4
765,복내,2011-07-02,25.8,0,.9
765,복내,2011-07-03,25.3,23,1.1
765,복내,2011-07-04,24.7,32,.9
765,복내,2011-07-05,24.5,0,.6
765,복내,2011-07-06,21.2,15.5,.5
765,복내,2011-07-07,23.2,81,1.3
765,복내,2011-07-08,26.4,8,1.9
765,복내,2011-07-09,22.6,212.5,.7
765,복내,2011-07-10,24.5,63.5,1.2
765,복내,2011-07-11,25.5,1,.8
765,복내,2011-07-12,25.8,7.5,1.3
765,복내,2011-07-13,26,5.5,1.3
765,복내,2011-07-14,25.5,29,1.4
765,복내,2011-07-15,26.7,3,1.8
765,복내,2011-07-16,26.3,.5,1.1
765,복내,2011-07-17,26.6,0,.7
765,복내,2011-07-18,28.2,0,.7
765,복내,2011-07-19,29.1,0,.6
765,복내,2011-07-20,28.3,0,.8
765,복내,2011-07-21,24.1,0,1.5
765,복내,2011-07-22,23.2,0,1.1
765,복내,2011-07-23,25.6,0,.8
765,복내,2011-07-24,25.2,0,.9
765,복내,2011-07-25,25,0,1
765,복내,2011-07-26,27,7.5,1.4
765,복내,2011-07-27,27.5,5.5,1.5
765,복내,2011-07-28,27,5,1.2
765,복내,2011-07-29,27.2,.5,.7
765,복내,2011-07-30,26.7,0,.4
765,복내,2011-07-31,26.8,0,.9
765,복내,2011-08-01,25,102.5,.8
765,복내,2011-08-02,27.4,0,.9
765,복내,2011-08-03,26.9,0,.8
765,복내,2011-08-04,28,0,.8
765,복내,2011-08-05,28.2,0,.9
765,복내,2011-08-06,28.6,0,1.3
765,복내,2011-08-07,26.3,180.5,3.4
765,복내,2011-08-08,26.5,11.5,2.8
765,복내,2011-08-09,25.7,9.5,1.2
765,복내,2011-08-10,26.8,20.5,.7
765,복내,2011-08-11,26.5,1.5,.5
765,복내,2011-08-12,27,0,1.1
765,복내,2011-08-13,25.2,4.5,1.4
765,복내,2011-08-14,26.4,.5,1.1
765,복내,2011-08-15,25.9,0,.9
765,복내,2011-08-16,26.9,0,1.3
765,복내,2011-08-17,27.1,0,1.2
765,복내,2011-08-18,25.2,3,.8
765,복내,2011-08-19,23.3,.5,.4
765,복내,2011-08-20,19.9,26,.4
765,복내,2011-08-21,22.1,1,.4
765,복내,2011-08-22,20.7,2,.4
765,복내,2011-08-23,20.2,5,.4
765,복내,2011-08-24,22.3,0,.4
765,복내,2011-08-25,22.9,2.5,.6
765,복내,2011-08-26,24.2,1,.7
765,복내,2011-08-27,25.7,0,.8
765,복내,2011-08-28,25.9,0,.7
765,복내,2011-08-29,26.6,0,.7
765,복내,2011-08-30,26.7,0,.6
765,복내,2011-08-31,27.5,0,.7
765,복내,2011-09-01,27.6,0,.7
765,복내,2011-09-02,27.1,0,.7
765,복내,2011-09-03,26.2,0,.7
765,복내,2011-09-04,23.7,19.5,.5
765,복내,2011-09-05,23.6,0,.7
765,복내,2011-09-06,21.3,0,.7
765,복내,2011-09-07,21.4,0,.8
765,복내,2011-09-08,22.4,0,.6
765,복내,2011-09-09,22.6,1,.5
765,복내,2011-09-10,20.3,9.5,.5
765,복내,2011-09-11,23.7,2,.6
765,복내,2011-09-12,25.9,0,1
765,복내,2011-09-13,26.1,0,.9
765,복내,2011-09-14,25.6,0,.8
765,복내,2011-09-15,25.1,0,.7
765,복내,2011-09-16,26.6,0,.8
765,복내,2011-09-17,26.2,97.5,.7
765,복내,2011-09-18,23.5,4.5,.8
765,복내,2011-09-19,19.3,.5,.4
765,복내,2011-09-20,18.4,0,.6
765,복내,2011-09-21,17.4,0,.6
765,복내,2011-09-22,17,0,.6
765,복내,2011-09-23,16.7,0,.6
765,복내,2011-09-24,17.9,0,.8
765,복내,2011-09-25,18,0,.7
765,복내,2011-09-26,18.2,0,.7
765,복내,2011-09-27,17.9,0,.8
765,복내,2011-09-28,18.6,0,.5
765,복내,2011-09-29,19.3,5,.7
765,복내,2011-09-30,17.1,0,1.8
765,복내,2011-10-01,14.1,0,1.3
765,복내,2011-10-02,13.4,0,1.1
765,복내,2011-10-03,11.4,0,.5
765,복내,2011-10-04,13.3,0,.6
765,복내,2011-10-05,14.9,0,.5
765,복내,2011-10-06,14.6,0,.7
765,복내,2011-10-07,14,0,.5
765,복내,2011-10-08,13.9,0,.5
765,복내,2011-10-09,15.5,0,.9
765,복내,2011-10-10,16.7,0,.7
765,복내,2011-10-11,16,0,.5
765,복내,2011-10-12,15.2,0,.6
765,복내,2011-10-13,17.2,0,.7
765,복내,2011-10-14,14.5,9,.4
765,복내,2011-10-15,16.2,.5,1.1
765,복내,2011-10-16,13.1,0,1
