지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2014-01-01,1.6,0,1.8
765,복내,2014-01-02,-1.4,0,.6
765,복내,2014-01-03,.5,0,.7
765,복내,2014-01-04,.3,0,1.6
765,복내,2014-01-05,-2,0,1.5
765,복내,2014-01-06,-2.1,0,.7
765,복내,2014-01-07,.4,0,.6
765,복내,2014-01-08,1.9,3,2.3
765,복내,2014-01-09,-3.8,0,4.4
765,복내,2014-01-10,-5,0,1
765,복내,2014-01-11,-2.9,0,1.1
765,복내,2014-01-12,-1.4,0,1.8
765,복내,2014-01-13,-2.7,0,3.7
765,복내,2014-01-14,-3,0,2.1
765,복내,2014-01-15,-2,0,2.6
765,복내,2014-01-16,-1.9,0,1.6
765,복내,2014-01-17,-1.5,0,1
765,복내,2014-01-18,-1.1,0,3.2
765,복내,2014-01-19,-2.5,0,1
765,복내,2014-01-20,.9,.5,2.3
765,복내,2014-01-21,-2.8,0,3.5
765,복내,2014-01-22,-3.6,0,1.9
765,복내,2014-01-23,-3.2,0,.8
765,복내,2014-01-24,1.9,0,1
765,복내,2014-01-25,4.9,2,1.3
765,복내,2014-01-26,.6,0,2.2
765,복내,2014-01-27,-1.2,0,.9
765,복내,2014-01-28,.1,0,1.5
765,복내,2014-01-29,1.7,2.5,.9
765,복내,2014-01-30,5.4,1.5,1.5
765,복내,2014-01-31,2.4,0,.9
765,복내,2014-02-01,9,0,1.1
765,복내,2014-02-02,11,0,2.1
765,복내,2014-02-03,3.5,0,3.8
765,복내,2014-02-04,-4.2,0,4.5
765,복내,2014-02-05,-1.7,0,1.8
765,복내,2014-02-06,.3,3,.9
765,복내,2014-02-07,3.1,0,1.6
765,복내,2014-02-08,2.4,1,1.1
765,복내,2014-02-09,.5,0,3.7
765,복내,2014-02-10,1.1,0,1.8
765,복내,2014-02-11,.9,0,1.5
765,복내,2014-02-12,1.3,0,1
765,복내,2014-02-13,1.5,0,1.3
765,복내,2014-02-14,.4,0,1.2
765,복내,2014-02-15,-.1,0,1
765,복내,2014-02-16,2.1,0,.8
765,복내,2014-02-17,3.7,4,1.3
765,복내,2014-02-18,2.1,0,1.6
765,복내,2014-02-19,.8,0,1
765,복내,2014-02-20,.7,0,1.6
765,복내,2014-02-21,.9,0,2.1
765,복내,2014-02-22,.4,0,.9
765,복내,2014-02-23,2.2,0,.9
765,복내,2014-02-24,3.2,0,1
765,복내,2014-02-25,4.8,0,.8
765,복내,2014-02-26,5.8,0,.9
765,복내,2014-02-27,8.6,0,2
765,복내,2014-02-28,7.6,0,1.4
765,복내,2014-03-01,6.8,6.5,1
765,복내,2014-03-02,4.8,0,2.5
765,복내,2014-03-03,3.3,0,1.6
765,복내,2014-03-04,2.8,0,1
765,복내,2014-03-05,3,0,3.7
765,복내,2014-03-06,1.2,0,2.6
765,복내,2014-03-07,1.8,0,3.4
765,복내,2014-03-08,.8,0,2
765,복내,2014-03-09,1.4,0,3.2
765,복내,2014-03-10,1.2,0,2.3
765,복내,2014-03-11,2.5,0,1.2
765,복내,2014-03-12,4.3,38,.4
765,복내,2014-03-13,5.3,6.5,2.2
765,복내,2014-03-14,3,1,2.2
765,복내,2014-03-15,4.3,0,1.4
765,복내,2014-03-16,7.9,0,1.2
765,복내,2014-03-17,9.6,4.5,1.6
765,복내,2014-03-18,12,.5,1.8
765,복내,2014-03-19,9.4,0,1.3
765,복내,2014-03-20,6.8,0,4.2
765,복내,2014-03-21,4.3,0,2.9
765,복내,2014-03-22,5.5,0,1.4
765,복내,2014-03-23,7.1,0,1.5
765,복내,2014-03-24,9.1,0,1.4
765,복내,2014-03-25,11.4,17.5,.4
765,복내,2014-03-26,12.6,7,1.2
765,복내,2014-03-27,12.8,0,1.4
765,복내,2014-03-28,13,0,1.5
765,복내,2014-03-29,14.4,8,1.7
765,복내,2014-03-30,13.3,1.5,2.8
765,복내,2014-03-31,11,0,1.1
765,복내,2014-04-01,11.3,0,1.2
765,복내,2014-04-02,11.9,0,1
765,복내,2014-04-03,10.5,0,2.2
765,복내,2014-04-04,7.3,0,3.4
765,복내,2014-04-05,6.3,0,3.1
765,복내,2014-04-06,7.8,0,3.4
765,복내,2014-04-07,10,0,2.1
765,복내,2014-04-08,11.4,0,1.4
765,복내,2014-04-09,11.8,0,1.6
765,복내,2014-04-10,13.5,0,1.6
765,복내,2014-04-11,11.7,0,1.1
765,복내,2014-04-12,12.9,0,.9
765,복내,2014-04-13,12,10,1.3
765,복내,2014-04-14,12.9,0,1.8
765,복내,2014-04-15,14.2,0,1.7
765,복내,2014-04-16,14.3,0,1.4
765,복내,2014-04-17,,8,
765,복내,2014-04-18,,1.5,
765,복내,2014-04-19,11.7,0,1.9
765,복내,2014-04-20,13.4,0,1.4
765,복내,2014-04-21,16.1,0,1.7
765,복내,2014-04-22,15.6,0,2.3
765,복내,2014-04-23,13.4,0,1.2
765,복내,2014-04-24,13.8,0,1.2
765,복내,2014-04-25,13.8,0,1.2
765,복내,2014-04-26,14.9,0,1.4
765,복내,2014-04-27,15.3,19.5,2.6
765,복내,2014-04-28,13.7,16.5,3.7
