지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2009-01-01,-3.2,0,1.4
765,복내,2009-01-02,-1.1,0,.7
765,복내,2009-01-03,-.1,0,.5
765,복내,2009-01-04,.2,0,.6
765,복내,2009-01-05,1,0,1.1
765,복내,2009-01-06,,0,
765,복내,2009-01-07,.8,0,.7
765,복내,2009-01-08,,0,.8
765,복내,2009-01-09,.1,0,1.3
765,복내,2009-01-10,-2,0,1.5
765,복내,2009-01-11,-1.8,0,1.1
765,복내,2009-01-12,-2.5,0,2
765,복내,2009-01-13,-1.7,0,1.2
765,복내,2009-01-14,-3.3,.5,1.1
765,복내,2009-01-15,-4.6,0,1
765,복내,2009-01-16,-2,0,.6
765,복내,2009-01-17,-.9,0,.5
765,복내,2009-01-18,3.7,3.5,.7
765,복내,2009-01-19,3.2,0,1
765,복내,2009-01-20,2.9,0,.5
765,복내,2009-01-21,1.2,0,.4
765,복내,2009-01-22,2.1,0,.4
765,복내,2009-01-23,-3.5,.5,1.8
765,복내,2009-01-24,-6,0,1
765,복내,2009-01-25,-2.7,.5,.5
765,복내,2009-01-26,-2.3,0,.8
765,복내,2009-01-27,-2.6,0,.5
765,복내,2009-01-28,.2,0,.6
765,복내,2009-01-29,1.7,2.5,.3
765,복내,2009-01-30,5.9,4.5,.3
765,복내,2009-01-31,5.7,0,.5
765,복내,2009-02-01,4,0,.6
765,복내,2009-02-02,5.3,0,.4
765,복내,2009-02-03,5.8,3,.2
765,복내,2009-02-04,6,0,.5
765,복내,2009-02-05,4.5,0,.7
765,복내,2009-02-06,2.7,0,.6
765,복내,2009-02-07,5.3,0,1.1
765,복내,2009-02-08,5.1,0,.8
765,복내,2009-02-09,2.9,0,.9
765,복내,2009-02-10,2.5,0,.8
765,복내,2009-02-11,5.6,0,.8
765,복내,2009-02-12,8.2,0,1.6
765,복내,2009-02-13,15,27,3
765,복내,2009-02-14,8.7,0,1.3
765,복내,2009-02-15,2.4,1.5,1.1
765,복내,2009-02-16,-.9,0,2
765,복내,2009-02-17,-.7,0,1.1
765,복내,2009-02-18,1.1,0,1
765,복내,2009-02-19,.9,11,.6
765,복내,2009-02-20,1.4,1,1.7
765,복내,2009-02-21,-.3,0,.8
765,복내,2009-02-22,2.7,14,
765,복내,2009-02-23,8.1,0,.9
765,복내,2009-02-24,10.6,2.5,.8
765,복내,2009-02-25,7.2,5,1
765,복내,2009-02-26,5.9,0,.8
765,복내,2009-02-27,6.2,0,.8
765,복내,2009-02-28,5.2,0,.6
765,복내,2009-03-01,5.5,0,.9
765,복내,2009-03-02,4.2,.5,1.2
765,복내,2009-03-03,1.6,9.5,.7
765,복내,2009-03-04,4.3,0,.7
