지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s)
765,복내,2001-01-01,-1.5,0,.8
765,복내,2001-01-02,2.4,0,1.8
765,복내,2001-01-03,-1.3,0,1.4
765,복내,2001-01-04,-3.1,0,2
765,복내,2001-01-05,-3.3,0,1.1
765,복내,2001-01-06,-.3,0,.8
765,복내,2001-01-07,4.4,11,1.8
765,복내,2001-01-08,5.5,0,.8
765,복내,2001-01-09,4,6.5,1.4
765,복내,2001-01-10,-1.9,0,1.4
765,복내,2001-01-11,-1,0,.7
765,복내,2001-01-12,-3.4,0,1
765,복내,2001-01-13,-3.2,5,1.3
765,복내,2001-01-14,-7.8,0,2.1
765,복내,2001-01-15,-9.1,0,1.5
765,복내,2001-01-16,-8.3,0,1
765,복내,2001-01-17,-5.3,0,.5
765,복내,2001-01-18,-2.7,0,.4
765,복내,2001-01-19,-.7,.5,.2
765,복내,2001-01-20,3,10.5,.9
765,복내,2001-01-21,.7,0,.9
765,복내,2001-01-22,.1,0,.3
765,복내,2001-01-23,.3,0,.5
765,복내,2001-01-24,1.6,0,.6
765,복내,2001-01-25,3.2,0,.4
765,복내,2001-01-26,3,0,.7
765,복내,2001-01-27,1.5,2.5,.9
765,복내,2001-01-28,-1.1,1.5,1.2
765,복내,2001-01-29,-1.7,0,.6
765,복내,2001-01-30,-1.7,0,.4
765,복내,2001-01-31,-1,0,.1
765,복내,2001-02-01,-1,0,3.1
765,복내,2001-02-02,-3.1,0,1.2
765,복내,2001-02-03,-.4,0,.4
765,복내,2001-02-04,2.6,0,.6
765,복내,2001-02-05,4.3,0,.5
765,복내,2001-02-06,6.7,0,.6
765,복내,2001-02-07,1.8,0,1.8
765,복내,2001-02-08,-2.5,0,1.7
765,복내,2001-02-09,-2.9,0,.6
765,복내,2001-02-10,-.5,0,.5
765,복내,2001-02-11,-.3,0,.5
765,복내,2001-02-12,.4,0,.8
765,복내,2001-02-13,-.1,0,1.6
765,복내,2001-02-14,-1.7,0,1.4
765,복내,2001-02-15,-.8,3,1.6
765,복내,2001-02-16,-1.7,0,2.1
765,복내,2001-02-17,-1.5,0,.7
765,복내,2001-02-18,2.9,0,.5
765,복내,2001-02-19,4.6,0,.7
765,복내,2001-02-20,4.2,0,.8
765,복내,2001-02-21,3.6,2,.2
765,복내,2001-02-22,6.5,0,.6
765,복내,2001-02-23,5.6,28,.7
765,복내,2001-02-24,2.8,7.5,1.5
765,복내,2001-02-25,.3,0,2.2
765,복내,2001-02-26,.9,0,.4
765,복내,2001-02-27,2.1,23,.1
765,복내,2001-02-28,8.8,12,1.2
765,복내,2001-03-01,4.3,6.5,1
765,복내,2001-03-02,4.1,0,.4
765,복내,2001-03-03,4.2,2.5,.9
765,복내,2001-03-04,-.7,4,1.8
765,복내,2001-03-05,2.4,2.5,1.5
765,복내,2001-03-06,5.9,0,1.4
765,복내,2001-03-07,.5,0,2.6
765,복내,2001-03-08,-2.8,2,2
765,복내,2001-03-09,-.8,.5,1.7
765,복내,2001-03-10,1.2,0,1
765,복내,2001-03-11,1.7,0,.9
765,복내,2001-03-12,2.3,0,1.6
765,복내,2001-03-13,3.4,0,1
765,복내,2001-03-14,8.8,0,1.4
765,복내,2001-03-15,7.1,0,2
765,복내,2001-03-16,6.5,1,.8
765,복내,2001-03-17,7.7,2,.4
765,복내,2001-03-18,8.4,0,1.2
765,복내,2001-03-19,9.6,0,.9
765,복내,2001-03-20,10.5,0,1.1
765,복내,2001-03-21,10.8,0,1
765,복내,2001-03-22,10.6,0,.9
765,복내,2001-03-23,10.2,0,1
765,복내,2001-03-24,10.5,0,.7
765,복내,2001-03-25,12,0,1.5
765,복내,2001-03-26,5.9,0,1.9
765,복내,2001-03-27,6.7,0,1.2
765,복내,2001-03-28,4.9,4.5,1.7
765,복내,2001-03-29,2.6,0,1.7
765,복내,2001-03-30,.6,4.5,.4
765,복내,2001-03-31,2.9,0,1
765,복내,2001-04-01,5.1,0,1
765,복내,2001-04-02,8.7,0,1
765,복내,2001-04-03,10.6,0,1.2
765,복내,2001-04-04,7.8,0,.9
765,복내,2001-04-05,10,0,.7
765,복내,2001-04-06,10.5,0,.7
765,복내,2001-04-07,11.9,0,.8
765,복내,2001-04-08,13.9,0,.7
765,복내,2001-04-09,17.6,1,.7
765,복내,2001-04-10,17.2,0,.7
765,복내,2001-04-11,8.8,1,1.4
765,복내,2001-04-12,8.9,0,1.7
765,복내,2001-04-13,11.1,0,1
765,복내,2001-04-14,10.8,6.5,1.2
765,복내,2001-04-15,10.8,0,1
765,복내,2001-04-16,12,0,1.2
765,복내,2001-04-17,13.8,0,1.1
765,복내,2001-04-18,15.8,0,.9
765,복내,2001-04-19,15.2,0,1
765,복내,2001-04-20,11.1,0,1
765,복내,2001-04-21,13.9,0,1.1
765,복내,2001-04-22,11.9,0,1.5
765,복내,2001-04-23,13.7,0,1.1
765,복내,2001-04-24,14.1,0,.8
765,복내,2001-04-25,10.8,0,.9
765,복내,2001-04-26,11.8,0,.8
765,복내,2001-04-27,12.4,0,1
765,복내,2001-04-28,13.7,2,1.1
765,복내,2001-04-29,15.6,8,1.5
765,복내,2001-04-30,16.2,6,.7
765,복내,2001-05-01,14.7,2,1
765,복내,2001-05-02,15.6,2,.8
765,복내,2001-05-03,14.4,0,1
765,복내,2001-05-04,14.3,0,.7
765,복내,2001-05-05,13.7,0,.8
765,복내,2001-05-06,17.1,0,1.1
765,복내,2001-05-07,17.5,4,.5
765,복내,2001-05-08,19.7,1,.9
765,복내,2001-05-09,17.8,0,1.2
765,복내,2001-05-10,15.8,0,.8
765,복내,2001-05-11,15.5,0,1
765,복내,2001-05-12,16,0,.8
765,복내,2001-05-13,17.2,0,.9
765,복내,2001-05-14,18.8,0,1.4
765,복내,2001-05-15,19.8,0,.8
765,복내,2001-05-16,18.3,0,1
765,복내,2001-05-17,19.7,0,1.1
765,복내,2001-05-18,18,0,1.6
765,복내,2001-05-19,21.6,0,1.1
765,복내,2001-05-20,20.6,0,1
765,복내,2001-05-21,19,6,.3
765,복내,2001-05-22,17.5,11,.2
765,복내,2001-05-23,19.8,2.5,.5
765,복내,2001-05-24,22.1,0,.7
765,복내,2001-05-25,21.4,0,1
765,복내,2001-05-26,20.4,0,.2
765,복내,2001-05-27,21.5,0,1
765,복내,2001-05-28,20.3,0,.9
765,복내,2001-05-29,21.3,0,.8
765,복내,2001-05-30,17.5,.5,.4
765,복내,2001-05-31,18.3,0,1.2
765,복내,2001-06-01,18.9,0,1.1
765,복내,2001-06-02,20.5,0,.6
765,복내,2001-06-03,23.5,0,.7
765,복내,2001-06-04,21.4,0,.7
765,복내,2001-06-05,19.3,0,.5
765,복내,2001-06-06,23.3,0,.7
765,복내,2001-06-07,23.2,0,1.1
765,복내,2001-06-08,21.6,0,1
765,복내,2001-06-09,23.3,0,1
765,복내,2001-06-10,22.1,8.5,.8
765,복내,2001-06-11,22.2,0,1
765,복내,2001-06-12,22.7,0,.7
765,복내,2001-06-13,19,10.5,.3
765,복내,2001-06-14,,0,
765,복내,2001-06-15,20.6,0,.7
765,복내,2001-06-16,21.1,0,.8
765,복내,2001-06-17,22.1,4.5,1.3
765,복내,2001-06-18,22.2,95,.9
765,복내,2001-06-19,22.2,14,.5
765,복내,2001-06-20,20.8,0,.8
765,복내,2001-06-21,21.4,0,.9
765,복내,2001-06-22,21.6,.5,
765,복내,2001-06-23,20.2,6.5,.3
765,복내,2001-06-24,20.8,182.5,.6
765,복내,2001-06-25,22.8,20,.9
765,복내,2001-06-26,21.5,7,.6
765,복내,2001-06-27,23.9,0,.4
765,복내,2001-06-28,25.4,0,.9
765,복내,2001-06-29,24.7,7,.8
765,복내,2001-06-30,24.9,16.5,.8
